# Words removed for being too plain or generic (2026-09-17).
# Not used by the game. Move a line back into scripts/words/ to restore it.
abdicate | verb | To renounce one's throne; to fail to fulfill a duty.
accelerometer | noun | An instrument for measuring acceleration.
accountant | noun | A person who keeps or inspects financial accounts.
acne | noun | A skin condition marked by red pimples.
acre | noun | A unit of land area equal to 4,840 square yards.
adamant | adjective | Refusing to be persuaded or change one's mind.
adapter | noun | A device for connecting pieces of equipment.
admiral | noun | The commander of a fleet or naval squadron.
aerosol | noun | A substance enclosed under pressure and released as a fine spray.
aesthetics | noun | A set of principles concerned with beauty and artistic taste.
afoot | adverb | In preparation or progress; happening.
aftermath | noun | The consequences or aftereffects of a significant unpleasant event.
agenda | noun | A list of items to be discussed at a meeting; an underlying motive.
airdrop | noun | A drop of supplies from an aircraft; a wireless file transfer.
airline | noun | An organization providing a regular public service of air transport.
airport | noun | A complex of runways and buildings for aircraft.
airtight | adjective | Not allowing air to escape; having no weaknesses.
ajar | adverb | Slightly open, of a door.
albeit | conjunction | Though.
algorithm | noun | A process or set of rules to be followed in calculations or problem-solving.
alight | adjective | On fire; verb: to descend from a vehicle.
allergy | noun | A damaging immune response to a normally harmless substance.
allowance | noun | An amount of money given regularly, especially to a child.
aloof | adjective | Not friendly or forthcoming; cool and distant.
alt | adjective | Alternative, especially in music or culture.
aluminum | noun | A lightweight silvery-white metal.
amber | noun | Hard translucent fossilized resin; a honey-yellow color.
amiable | adjective | Having or displaying a friendly and pleasant manner.
ammeter | noun | An instrument for measuring electric current.
ampersand | noun | The sign &, standing for "and."
analog | adjective | Relating to information represented by a continuously variable quantity.
anchor | noun | A heavy object used to moor a ship to the sea bottom.
anniversary | noun | The date on which an event took place in a previous year.
announcer | noun | A person who announces something, especially on radio or television.
annuity | noun | A fixed sum of money paid to someone each year.
anomaly | noun | Something that deviates from what is standard or expected.
anon | adverb | Soon; shortly.
antenna | noun | A rod or wire for transmitting or receiving radio signals; an insect's feeler.
antics | noun | Foolish, outrageous, or amusing behavior.
anxiety | noun | A feeling of worry, nervousness, or unease.
apace | adverb | Swiftly; quickly.
app | noun | An application, especially one downloaded to a mobile device.
appendix | noun | A tube-shaped sac attached to the large intestine; a section at the end of a book.
apron | noun | A protective garment worn over the front of clothes.
arcade | noun | A covered passage with arches; a place with coin-operated games.
architect | noun | A person who designs buildings.
ardent | adjective | Enthusiastic or passionate.
aright | adverb | Correctly; properly.
armpit | noun | A hollow under the arm at the shoulder.
arsenal | noun | A collection of weapons; a place where weapons are made or stored.
ashen | adjective | Pale as ash, especially from shock or fear.
ashore | adverb | To or on the shore.
asterisk | noun | A symbol (*) used as a pointer to an annotation.
astounding | adjective | Surprisingly impressive or notable.
astronomy | noun | The science of celestial objects and space.
asylum | noun | Protection granted to a political refugee; a former institution for the mentally ill.
atom | noun | The smallest particle of a chemical element.
attic | noun | A space or room just below the roof of a building.
auditor | noun | A person who conducts an official inspection of accounts.
avatar | noun | An icon or figure representing a person online; a deity's incarnation.
awesomeness | noun | The quality of being extremely impressive.
awl | noun | A small pointed tool for piercing holes.
axe | noun | A tool with a heavy bladed head for chopping wood.
bachelor | noun | An unmarried man; a person holding a first university degree.
backache | noun | A prolonged pain in one's back.
backlash | noun | A strong negative reaction by a large number of people.
backpack | noun | A bag with shoulder straps carried on the back.
backup | noun | A copy of computer data taken and stored elsewhere.
backyard | noun | A yard at the back of a house.
bacon | noun | Cured meat from the back or sides of a pig.
badger | noun | A heavily built burrowing mammal with a black-and-white striped head.
badger | verb | To repeatedly and annoyingly ask someone to do something.
baggage | noun | Personal belongings packed for traveling; past experiences perceived as a burden.
baggy | adjective | Loose and hanging in folds.
baker | noun | A person who makes bread and cakes.
ballad | noun | A poem or song narrating a story in short stanzas.
balloon | noun | A small inflatable rubber bag; a large bag of hot air or gas for flight.
bamboo | noun | A giant woody grass with hollow stems.
bandage | noun | A strip of material used to bind a wound.
bandwidth | noun | A range of frequencies; the capacity to deal with a situation.
bangle | noun | A rigid ornamental band worn around the arm or ankle.
bankruptcy | noun | The state of being unable to pay one's debts.
banquet | noun | An elaborate and formal meal for many people.
barcode | noun | A machine-readable code of numbers and parallel lines.
bargain | noun | A thing bought for less than its true value; an agreement.
barge | verb | To move forcefully or roughly.
barley | noun | A hardy cereal with coarse bristles, used in brewing and stockfeed.
barrel | noun | A cylindrical container; a unit of volume, especially for oil.
bartender | noun | A person who mixes and serves drinks at a bar.
basement | noun | The floor of a building partly or entirely below ground level.
basil | noun | An aromatic herb of the mint family.
bathtub | noun | A tub for bathing in.
battery | noun | A container of cells in which chemical energy is converted into electricity.
bedrock | noun | Solid rock underlying loose deposits; the fundamental principles.
bedtime | noun | The usual time when someone goes to bed.
beige | adjective | A pale sandy fawn color.
bellow | verb | To emit a deep loud roar.
bellows | noun | A device for blowing air into a fire.
belly | noun | The front part of the body below the ribs.
bellybutton | noun | The navel.
benchmark | noun | A standard or point of reference against which things may be compared.
bib | noun | A piece of cloth fastened under a child's chin to keep clothes clean.
bicep | noun | A large muscle in the upper arm (usually "biceps").
bicycle | noun | A vehicle with two wheels propelled by pedals.
bigot | noun | A person who is intolerant toward those holding different opinions.
biker | noun | A motorcyclist, especially one who is a member of a gang.
billionaire | noun | A person with assets worth at least a billion.
binge | verb | To indulge in an activity to excess, such as watching many episodes.
biofuel | noun | A fuel derived from living matter.
birdcage | noun | A cage for a pet bird.
birthday | noun | The anniversary of the day on which a person was born.
bitmap | noun | A representation of an image as an array of pixels.
blackbird | noun | A thrush of which the male has black plumage.
blackout | noun | A failure of electrical power; a temporary loss of consciousness.
blacksmithing | noun | The work of a blacksmith.
blender | noun | An electric appliance for liquidizing food.
blister | noun | A small bubble on the skin filled with fluid.
bloated | adjective | Swollen with fluid or gas; excessive in size.
blouse | noun | A woman's loose upper garment resembling a shirt.
blueberry | noun | A small sweet blue-black edible berry.
blueprint | noun | A design plan or other technical drawing.
blunder | noun | A stupid or careless mistake.
blush | verb | To develop a pink tinge in the face from embarrassment.
boarding | noun | Getting on a ship, aircraft, or train.
boardroom | noun | A room in which a board of directors meets.
bodyguard | noun | A person employed to protect a rich or famous person.
bog | noun | Wet muddy ground too soft to support a heavy body.
boiler | noun | A fuel-burning apparatus for heating water.
bologna | noun | A large smoked sausage made of mixed meats.
bolt | noun | A metal pin with a head; a roll of cloth.
bombardment | noun | A continuous attack with bombs or questions.
bonfire | noun | A large open-air fire used for burning rubbish or for celebration.
boob | noun | A foolish or stupid person; a blunder.
bookend | noun | A support placed at the end of a row of books.
bookmaker | noun | A person whose business is taking bets.
bookshelf | noun | A shelf on which books can be stored.
bootstrap | noun | A loop at the back of a boot; a technique of loading a program into a computer.
boredom | noun | The state of feeling bored.
botany | noun | The scientific study of plants.
bottleneck | noun | The neck of a bottle; a point of congestion.
boulder | noun | A large rock.
bowling | noun | The game of knocking down pins by rolling a ball.
boycott | verb | To withdraw from commercial or social relations as a protest.
branding | noun | Marking livestock with a hot iron.
branding | noun | The promotion of a product through a distinctive design.
brandy | noun | A strong alcoholic spirit distilled from wine or fruit juice.
breakthrough | noun | A sudden, dramatic, and important discovery or development.
breezy | adjective | Pleasantly windy; relaxed and informally cheerful.
brewery | noun | A place where beer is made commercially.
briefcase | noun | A flat rectangular case for carrying documents.
brittle | adjective | Hard but liable to break easily.
broadband | noun | A high-capacity transmission technique.
broadcaster | noun | A person or organization that broadcasts.
brochure | noun | A small book or magazine containing pictures and information about a product.
bronze | noun | An alloy of copper and tin; a yellowish-brown color.
broom | noun | A long-handled brush for sweeping.
browser | noun | A program for viewing websites.
bruise | noun | An injury appearing as an area of discolored skin.
bubbly | adjective | Full of bubbles; cheerful and high-spirited.
bubbly | noun | Champagne; adjective: full of cheerful high spirits.
bucket | noun | A roughly cylindrical open container with a handle.
bulletin | noun | A short official statement or broadcast summary of news.
bully | noun | A person who harms or intimidates those they perceive as vulnerable.
bunker | noun | A reinforced underground shelter; a container for fuel.
bureau | noun | A writing desk with drawers; an office or department.
bureaucracy | noun | A system of government with many state officials; excessive administrative procedure.
bureaucrat | noun | An official perceived as concerned with procedural correctness.
burnout | noun | Physical or mental collapse caused by overwork or stress.
butcher | noun | A person who cuts up and sells meat.
butterfly | noun | An insect with large colorful wings.
byline | noun | A line naming the writer of a newspaper article.
cabbage | noun | A cultivated plant eaten as a vegetable, with a heart of leaves.
cabin | noun | A small wooden shelter or house in a wild area; a private room on a ship.
cactus | noun | A succulent plant with a thick fleshy stem and spines.
cafeteria | noun | A restaurant in which customers serve themselves.
calculator | noun | A device used for making mathematical calculations.
calculus | noun | A branch of mathematics dealing with rates of change; a hard deposit in the body.
callous | adjective | Showing an insensitive disregard for others.
calorie | noun | A unit of energy, especially of food.
cameraman | noun | A person who operates a film or television camera.
camper | noun | A person who camps; a vehicle for camping.
campfire | noun | An open-air fire in a camp.
campsite | noun | A place used for camping.
candlestick | noun | A support or holder for a candle.
candor | noun | The quality of being open and honest.
canoe | noun | A narrow keelless boat propelled with paddles.
canteen | noun | A small water bottle; a restaurant in a workplace.
canyon | noun | A deep gorge, typically with a river flowing through it.
capacitor | noun | A device used to store electric charge.
capitalism | noun | An economic system in which trade and industry are privately owned.
carbohydrate | noun | A compound such as sugar or starch that is a major food source.
cardboard | noun | Pasteboard or stiff paper.
caretaker | noun | A person employed to look after a building.
carpenter | noun | A person who makes and repairs wooden structures.
carriage | noun | A four-wheeled horse-drawn vehicle; a baby buggy.
carrot | noun | A tapering orange root vegetable.
cartilage | noun | Firm, flexible connective tissue.
cartoon | noun | A simple drawing showing the features of its subjects in a humorously exaggerated way.
cashew | noun | An edible kidney-shaped nut.
cashier | noun | A person handling payments in a shop or bank.
casserole | noun | A dish cooked slowly in an oven in a deep covered dish.
caterpillar | noun | The larva of a butterfly or moth.
cathode | noun | The negatively charged electrode of an electrical device.
cavernous | adjective | Like a cavern in size, shape, or atmosphere.
celebration | noun | The action of marking an important day with festivities.
celebrity | noun | A famous person.
celery | noun | A plant with crisp juicy stalks eaten raw or cooked.
cellar | noun | A room below ground level used for storage.
cello | noun | A bass instrument of the violin family, held between the knees.
chainsaw | noun | A mechanical saw with teeth set on a chain.
chalkboard | noun | A blackboard.
chaotic | adjective | In a state of complete confusion and disorder.
chapel | noun | A small building for Christian worship.
checkbook | noun | A book of checks.
checkers | noun | A board game for two players; draughts.
checkpoint | noun | A barrier where travelers are inspected.
cheekbone | noun | The bone below the eye.
chili | noun | A small hot-tasting pepper; a stew of meat and beans.
chipset | noun | A set of integrated circuits designed to function together.
chisel | noun | A long-bladed hand tool with a beveled cutting edge.
chocolate | noun | A food made from roasted and ground cacao seeds.
chores | noun | Routine tasks, especially household ones.
chrome | noun | Chromium plate as a decorative or protective finish.
cider | noun | A drink made from fermented apple juice.
circuitry | noun | Electric circuits collectively.
circulation | noun | Movement to and fro; the number of copies of a newspaper sold.
clarinet | noun | A woodwind instrument with a single-reed mouthpiece.
cleaver | noun | A tool with a heavy broad blade used for chopping meat.
clipboard | noun | A board with a clip for holding papers; a temporary computer storage area.
clothesline | noun | A rope or wire on which washed clothes are hung to dry.
clothespin | noun | A clip for fastening clothes to a clothesline.
clover | noun | A plant with round flower heads and trifoliate leaves.
