# Whimsical words, slang, insults, and nonsense
# word | part of speech | definition
absquatulate | verb | To leave abruptly; to abscond.
alack | exclamation | An expression of regret or dismay.
ballyhoo | noun | Extravagant publicity or fuss.
barmy | adjective | Mad or crazy (British).
bedlam | noun | A scene of uproar and confusion.
befuddled | adjective | Unable to think clearly; confused.
bejeezus | noun | Used for emphasis, as in "scared the bejeezus out of me."
bigwig | noun | An important person, especially in a particular sphere.
blatherskite | noun | A person who talks at great length without making much sense.
blighter | noun | A contemptible or unfortunate person (British).
blimey | exclamation | An expression of surprise or alarm (British).
blithering | adjective | Senselessly talkative; utter, as in "blithering idiot."
bloviate | verb | To talk at length in an inflated or empty way.
bluster | noun | Loud, aggressive, or indignant talk with little effect.
bogus | adjective | Not genuine or true; fake.
bonkers | adjective | Mad; crazy.
boob | noun | A foolish or stupid person; a blunder.
boondocks | noun | Rough or isolated country.
brainiac | noun | A very intelligent person.
bubkes | noun | Nothing at all; very little.
buffoon | noun | A ridiculous but amusing person; a clown.
bumpkin | noun | An unsophisticated person from the countryside.
bunkum | noun | Nonsense.
caboodle | noun | The whole lot, as in "the whole kit and caboodle."
cahoots | noun | Colluding or conspiring together.
canoodle | verb | To kiss and cuddle amorously.
catawampus | adjective | Askew; not properly lined up.
chicanery | noun | The use of trickery to achieve a purpose.
chinwag | noun | A chat.
chortle | verb | To laugh in a breathy, gleeful way.
chutzpah | noun | Shameless audacity; impudence.
claptrap | noun | Absurd or nonsensical talk or ideas.
clodhopper | noun | A large, heavy shoe; a clumsy person.
clunker | noun | A dilapidated old car or machine.
codger | noun | An elderly man, especially one who is eccentric.
comeuppance | noun | A punishment or fate that someone deserves.
conniption | noun | A fit of rage or hysterics.
copacetic | adjective | In excellent order; very satisfactory.
crackerjack | adjective | Exceptionally good.
crikey | exclamation | An expression of surprise.
crumbum | noun | A worthless or contemptible person.
dilly | noun | An excellent example of a particular type of person or thing.
dillydally | verb | To waste time through indecision.
dingbat | noun | A stupid or eccentric person; a typographical ornament.
dingus | noun | A thing whose name one cannot recall.
dipstick | noun | A rod for measuring fluid depth; a stupid person.
ditzy | adjective | Silly or scatterbrained.
doddering | adjective | Slow, shaky, and unsteady, typically because of old age.
dollop | noun | A shapeless mass of soft food.
doozy | noun | Something outstanding or unique of its kind.
dork | noun | A dull, socially inept person.
dorky | adjective | Socially inept or unfashionable.
drivel | noun | Silly nonsense.
dunderhead | noun | A stupid person.
dweeb | noun | A boring, studious, or socially inept person.
egghead | noun | An intellectual or academic, often used disparagingly.
eejit | noun | An idiot (Irish and Scottish).
fandangle | noun | A useless or purely ornamental thing.
fiddlesticks | exclamation | Nonsense.
finagle | verb | To obtain something by devious or dishonest methods.
flabbergasted | adjective | Greatly surprised or astonished.
flapdoodle | noun | Nonsense.
flimflam | noun | Nonsensical or insincere talk; a confidence trick.
floozy | noun | A girl or woman with a disreputable reputation.
fopdoodle | noun | A foolish or insignificant person.
frazzled | adjective | Completely exhausted.
fussbudget | noun | A person who fusses over trivial things.
galoot | noun | A clumsy, oafish person.
gewgaw | noun | A showy thing, especially one that is useless or worthless.
gimcrack | adjective | Showy but flimsy or poorly made.
gizzard | noun | A muscular part of a bird's stomach; a person's throat or stomach.
glitzy | adjective | Extravagantly showy.
goober | noun | A peanut; a silly or goofy person.
goofball | noun | A silly or foolish person.
goofy | adjective | Mildly eccentric and silly.
goon | noun | A thug hired to intimidate; a silly person.
gormless | adjective | Lacking sense; foolish.
