# Archaic, obsolete, and old-fashioned words
# word | part of speech | definition
abecedarian | noun | A person who is learning the alphabet; a beginner.
agog | adjective | Very eager or curious to hear or see something.
alehouse | noun | A tavern or inn where ale is sold.
alms | noun | Money or food given to poor people.
anon | adverb | Soon; shortly.
apace | adverb | Swiftly; quickly.
aright | adverb | Correctly; properly.
avast | exclamation | Stop; cease (nautical).
bailiwick | noun | One's sphere of operations or particular area of interest.
bandbox | noun | A lightweight box for hats or collars.
beadle | noun | A minor parish officer who kept order in church.
bedchamber | noun | A bedroom.
bedstead | noun | The framework of a bed.
behoove | verb | To be necessary or appropriate for.
beldam | noun | An old woman, especially an ugly one; a hag.
betwixt | preposition | Between.
blackguard | noun | A man who behaves dishonorably.
bodkin | noun | A blunt thick needle for drawing tape through a hem; a dagger.
bootjack | noun | A device for pulling off boots.
bounder | noun | A dishonorable man; a cad.
brigand | noun | A member of a gang that ambushes and robs people in forests and mountains.
buckboard | noun | An open horse-drawn carriage with seats on a flexible board.
bumptious | adjective | Self-assertive or proud to an irritating degree.
burgher | noun | A citizen of a town or city, especially a prosperous one.
cad | noun | A man who behaves dishonorably, especially toward a woman.
caitiff | noun | A contemptible or cowardly person.
chamberpot | noun | A bowl kept in a bedroom and used as a toilet.
chapman | noun | A peddler.
charwoman | noun | A woman employed to clean houses or offices.
chilblains | noun | Painful itching swelling on the skin caused by exposure to cold.
churl | noun | An impolite and mean-spirited person; a peasant.
coachman | noun | A driver of a horse-drawn carriage.
cockalorum | noun | A self-important little man.
comestible | noun | An item of food.
coxcomb | noun | A vain and conceited man; a dandy.
crinoline | noun | A stiffened or hooped petticoat worn to make a long skirt stand out.
cutpurse | noun | A pickpocket or thief.
damsel | noun | A young unmarried woman.
dandy | noun | A man unduly devoted to smartness and fashion.
dotard | noun | An old person, especially one who has become weak or senile.
doublet | noun | A man's short, close-fitting padded jacket, worn in the Renaissance.
draught | noun | A current of cool air; a single act of drinking.
dropsy | noun | Old-fashioned term for edema, swelling from excess fluid.
ere | preposition | Before (in time).
erstwhile | adjective | Former.
fain | adverb | Gladly; willingly.
farthing | noun | A former British coin worth a quarter of a penny.
fie | exclamation | Used to express disgust or outrage.
fishwife | noun | A coarse-mannered woman who is prone to shouting.
flagon | noun | A large container for serving or drinking wine or ale.
footpad | noun | A highwayman who robbed on foot.
forsooth | adverb | Indeed (often used ironically).
fortnight | noun | A period of two weeks.
fustian | noun | Thick durable twilled cloth; pompous or pretentious speech.
gadzooks | exclamation | Expressing surprise or annoyance.
gaol | noun | A jail (British spelling).
garret | noun | A top-floor or attic room, especially a small dismal one.
gentlewoman | noun | A woman of noble or good family.
gloaming | noun | Twilight; dusk.
gramercy | exclamation | Many thanks.
greatcoat | noun | A long heavy overcoat.
grog | noun | Spirits, originally rum, mixed with water.
grogshop | noun | A cheap bar or tavern.
haberdasher | noun | A dealer in men's clothing or sewing goods.
hackney | noun | A horse or carriage for hire.
harlot | noun | A prostitute or promiscuous woman.
harridan | noun | A strict, bossy, or belligerent old woman.
hearken | verb | To listen.
helpmeet | noun | A helpful companion or partner, especially a spouse.
highwayman | noun | A man who held up travelers at gunpoint to rob them.
hither | adverb | To or toward this place.
hornbook | noun | A leaf of paper showing the alphabet, protected by transparent horn.
hostler | noun | A person who looks after horses at an inn.
huckster | noun | A person who sells small items door to door; an aggressive salesperson.
inkhorn | noun | A small portable container for ink, originally made of horn.
inkwell | noun | A pot for ink housed in a hole in a desk.
jade | noun | A bad-tempered or disreputable woman; a worn-out horse; a green gem.
jerkin | noun | A sleeveless jacket.
knickerbockers | noun | Loose-fitting breeches gathered at the knee.
lackey | noun | A servant, especially a liveried footman; an obsequious follower.
lamplighter | noun | A person employed to light gas street lamps.
laudanum | noun | An alcoholic solution of opium once used as a painkiller.
liege | noun | A feudal superior or sovereign.
linkboy | noun | A boy employed to carry a torch to guide people through dark streets.
livery | noun | A special uniform worn by a servant or official.
lunatic | noun | A person who is mentally ill (dated); an extremely foolish person.
maidservant | noun | A female domestic servant.
malapert | adjective | Boldly disrespectful to a superior; impudent.
manservant | noun | A male servant.
methinks | verb | It seems to me.
milksop | noun | A person who is indecisive and lacks courage.
