# Technology, inventions, and gadgets from every era
# word | part of speech | definition
abacus | noun | A frame with rows of sliding beads, used for arithmetic.
aeroplane | noun | A powered flying vehicle with fixed wings (British spelling).
airbag | noun | A safety device in a vehicle that inflates rapidly in a collision.
airship | noun | A power-driven aircraft kept buoyant by a lighter-than-air gas.
astrolabe | noun | An instrument formerly used to measure the altitude of stars.
autogiro | noun | An early aircraft with an unpowered rotor and a propeller.
automaton | noun | A moving mechanical device made in imitation of a human being.
autopilot | noun | A device for keeping an aircraft or vehicle on a set course automatically.
barometer | noun | An instrument measuring atmospheric pressure.
bitcoin | noun | A type of digital currency without a central bank.
blockchain | noun | A digital ledger of transactions duplicated across a network.
blog | noun | A regularly updated website written in an informal style.
blogger | noun | A person who writes a blog.
bluetooth | noun | A standard for short-range wireless connection of devices.
camcorder | noun | A portable combined video camera and recorder.
carburetor | noun | A device in an engine that mixes air with fuel.
cassette | noun | A sealed case containing magnetic tape for audio or video.
chatbot | noun | A computer program designed to simulate conversation with humans.
chronometer | noun | An instrument for measuring time accurately, especially at sea.
cinematograph | noun | An early apparatus for showing motion pictures.
cyborg | noun | A being with both organic and biomechatronic body parts.
daguerreotype | noun | An early photograph produced on a silver-coated copper plate.
diskette | noun | A floppy disk.
dynamo | noun | A machine for converting mechanical energy into electrical energy.
email | noun | Messages distributed by electronic means.
escalator | noun | A moving staircase.
facsimile | noun | An exact copy; a fax.
fax | noun | A copy of a document transmitted electronically over a telephone line.
firewall | noun | A system that prevents unauthorized access to a computer network.
freeware | noun | Software available free of charge.
gaslight | noun | Light from burning gas; to manipulate someone into doubting their sanity.
gasometer | noun | A large tank for storing gas.
geek | noun | An unfashionable or socially inept person; a technology enthusiast.
gigabyte | noun | A unit of information equal to about one billion bytes.
googol | noun | Ten raised to the power of a hundred.
gyroscope | noun | A spinning wheel device used to maintain orientation.
hacker | noun | A person who uses computers to gain unauthorized access to data.
heliograph | noun | A signaling device that reflects sunlight with a mirror.
hologram | noun | A three-dimensional image formed by the interference of light beams.
hyperlink | noun | A link from a hypertext document to another location.
hypertext | noun | Text containing links to other texts.
icebox | noun | A chilled box for keeping food cold; an old-fashioned refrigerator.
