# Clothing, fashion, household things, and occupations
# word | part of speech | definition
accordion | noun | A portable musical instrument with bellows and keys.
anorak | noun | A waterproof hooded jacket; an obsessive enthusiast (British).
apron | noun | A protective garment worn over the front of clothes.
armoire | noun | A wardrobe or movable cabinet.
ascot | noun | A man's broad silk necktie.
balaclava | noun | A close-fitting garment covering the whole head and neck except the face.
bandana | noun | A large, colored handkerchief worn on the head or neck.
barista | noun | A person who serves in a coffee bar.
bassinet | noun | A baby's wicker cradle.
beanie | noun | A small close-fitting knitted hat.
bellhop | noun | A hotel porter.
beret | noun | A round flattish cap of felt or cloth.
bikini | noun | A two-piece swimsuit for women.
blacksmith | noun | A person who makes and repairs things in iron by hand.
blazer | noun | A plain jacket, often worn as part of a uniform.
bloomers | noun | Women's loose-fitting knee-length knickers; a blunder.
blouse | noun | A woman's loose upper garment resembling a shirt.
bodice | noun | The part of a dress above the waist.
bonnet | noun | A women's or child's hat tied under the chin.
bouffant | adjective | (Of hair) styled so as to stand out from the head in a rounded shape.
boutique | noun | A small shop selling fashionable clothes or accessories.
bowler | noun | A man's hard felt hat with a round dome-shaped crown; one who bowls.
brassiere | noun | A bra.
breeches | noun | Short trousers fastened just below the knee.
brogues | noun | Strong outdoor shoes with ornamental perforated patterns.
bureau | noun | A writing desk with drawers; an office or department.
bustier | noun | A close-fitting strapless top for women.
butler | noun | The chief manservant of a house.
caftan | noun | A long, loose tunic or dress.
camisole | noun | A woman's loose-fitting undergarment for the upper body.
candelabra | noun | A large branched candlestick.
cardigan | noun | A knitted sweater fastening down the front.
chandelier | noun | A decorative hanging light with branches for bulbs or candles.
chaise | noun | A horse-drawn carriage; a long reclining chair.
chambermaid | noun | A woman who cleans bedrooms in a hotel.
chauffeur | noun | A person employed to drive a private car.
chemise | noun | A loose shirtlike undergarment or dress.
chiffonier | noun | A tall chest of drawers.
clogs | noun | Shoes with a thick wooden sole.
coiffure | noun | A person's hairstyle, typically an elaborate one.
colander | noun | A perforated bowl used to strain food.
concierge | noun | A hotel employee who assists guests; a caretaker of an apartment building.
cooper | noun | A maker or repairer of casks and barrels.
corset | noun | A close-fitting undergarment worn to shape the figure.
cowlick | noun | A lock of hair that sticks up.
crochet | noun | A handicraft of making fabric by looping yarn with a hooked needle.
cufflinks | noun | Decorative fasteners for shirt cuffs.
culottes | noun | Women's knee-length trousers cut to resemble a skirt.
cupboard | noun | A recess or piece of furniture with a door and shelves.
davenport | noun | A large upholstered sofa; a small writing desk.
derby | noun | A bowler hat; a sporting contest.
dirndl | noun | A traditional Alpine dress with a full skirt and close bodice.
divan | noun | A long low sofa without a back or arms.
doily | noun | A small ornamental mat of lace or paper.
dungarees | noun | Trousers with a bib held up by straps; overalls.
duster | noun | A cloth for dusting; a woman's light, loose coat.
duvet | noun | A soft quilt filled with down or synthetic fiber.
epaulette | noun | An ornamental shoulder piece on a uniform.
espadrille | noun | A light canvas shoe with a plaited fiber sole.
farrier | noun | A craftsman who trims and shoes horses' hooves.
fedora | noun | A low, soft felt hat with a curled brim.
fez | noun | A flat-topped conical red hat with a tassel.
footman | noun | A liveried servant who admits visitors and waits at table.
futon | noun | A padded mattress that can be rolled up or used as a sofa.
gaiters | noun | Protective coverings for the ankle and lower leg.
garter | noun | A band worn around the leg to keep up a stocking.
gingham | noun | Lightweight cotton cloth with a checked pattern.
girdle | noun | A belt or cord worn around the waist; an elastic corset.
gondolier | noun | A person who propels a gondola.
governess | noun | A woman employed to teach children in a private household.
hairnet | noun | A fine mesh for holding the hair in place.
hammock | noun | A bed of canvas or netting suspended by cords at the ends.
handbag | noun | A small bag used by women to carry everyday items.
headscarf | noun | A square of fabric worn as a covering for the head.
hoodie | noun | A hooded sweatshirt.
hosiery | noun | Stockings, socks, and tights collectively.
housemaid | noun | A female domestic servant.
iceman | noun | A person who delivered ice.
janitor | noun | A caretaker of a building.
jeans | noun | Hard-wearing casual trousers made of denim.
jeggings | noun | Tight leggings made to resemble denim jeans.
jodhpurs | noun | Riding trousers, full above the knee and close-fitting below.
jumpsuit | noun | A one-piece garment combining trousers and top.
kilt | noun | A knee-length pleated skirt of tartan cloth, traditionally worn by Scottish men.
kimono | noun | A long, loose Japanese robe with wide sleeves.
lampshade | noun | A cover for a lamp to soften its light.
leggings | noun | Close-fitting stretchy trousers.
leotard | noun | A close-fitting one-piece garment worn by dancers and gymnasts.
locksmith | noun | A person who makes and repairs locks.
loincloth | noun | A single piece of cloth wrapped around the hips.
mantelpiece | noun | A structure of wood or stone above and around a fireplace.
manicurist | noun | A person who gives manicures.
mascara | noun | A cosmetic for darkening and thickening the eyelashes.
milkman | noun | A man who delivers milk to houses.
miniskirt | noun | A very short skirt.
