# Science, medicine, and the body
# word | part of speech | definition
adrenaline | noun | A hormone released in response to stress.
aether | noun | A once-hypothesized medium filling space through which light traveled.
amoeba | noun | A single-celled organism that moves by extending projections of its body.
anesthesia | noun | Insensitivity to pain, especially as induced before surgery.
antibiotic | noun | A medicine that inhibits the growth of or destroys microorganisms.
antibody | noun | A blood protein produced in response to an antigen.
antimatter | noun | Matter made of antiparticles.
apoplexy | noun | Unconsciousness caused by a stroke; extreme anger.
asbestos | noun | A heat-resistant fibrous mineral once used in insulation.
aspirin | noun | A medicine used to relieve pain and reduce fever.
asteroid | noun | A small rocky body orbiting the sun.
autism | noun | A developmental condition affecting communication and behavior.
bacteria | noun | Single-celled microorganisms, some of which cause disease.
biodiversity | noun | The variety of plant and animal life in a habitat.
bloodletting | noun | The surgical removal of blood as a former medical treatment.
bronchitis | noun | Inflammation of the bronchial tubes.
catalyst | noun | A substance that speeds up a chemical reaction; an agent of change.
chloroform | noun | A volatile liquid formerly used as an anesthetic.
cholesterol | noun | A compound found in cells; high levels are linked to heart disease.
chromosome | noun | A threadlike structure carrying genetic information.
comet | noun | An icy body that releases gas when near the sun, forming a tail.
concussion | noun | Temporary unconsciousness or confusion caused by a blow to the head.
consumptive | adjective | Affected with tuberculosis (dated).
coronavirus | noun | A family of viruses, including the one causing COVID-19.
croup | noun | Inflammation of the larynx in children, with a hacking cough.
cryogenics | noun | The branch of physics dealing with very low temperatures.
dementia | noun | A chronic disorder of mental processes marked by memory loss.
diphtheria | noun | A serious bacterial infection affecting the throat.
dopamine | noun | A neurotransmitter associated with reward and pleasure.
ebola | noun | A severe, often fatal viral hemorrhagic fever.
electron | noun | A negatively charged subatomic particle.
embryo | noun | An unborn offspring in the process of development.
endorphin | noun | A hormone that relieves pain and produces a feeling of well-being.
entropy | noun | A measure of disorder in a system; gradual decline into disorder.
enzyme | noun | A protein that acts as a catalyst for biochemical reactions.
epidemic | noun | A widespread occurrence of an infectious disease.
eugenics | noun | The discredited study of improving populations by selective breeding.
evolution | noun | The process by which organisms change over generations.
exoplanet | noun | A planet orbiting a star outside the solar system.
fibromyalgia | noun | A chronic disorder causing widespread musculoskeletal pain.
fluoride | noun | A compound added to water and toothpaste to prevent tooth decay.
fossil | noun | The preserved remains of a prehistoric organism.
galaxy | noun | A system of millions or billions of stars.
galvanism | noun | Electricity produced by chemical action; its therapeutic use.
gangrene | noun | Death of body tissue due to lack of blood supply or infection.
genome | noun | The complete set of genes of an organism.
gonorrhea | noun | A sexually transmitted bacterial infection.
gout | noun | A disease causing painful inflammation of the joints, especially the big toe.
hemorrhoids | noun | Swollen veins in the rectal area.
hepatitis | noun | Inflammation of the liver.
humors | noun | The four bodily fluids once thought to determine health and temperament.
hypochondria | noun | Abnormal chronic anxiety about one's health.
