# Vivid and distinctive vocabulary
# word | part of speech | definition
aberration | noun | A departure from what is normal or expected.
abscond | verb | To leave hurriedly and secretly, typically to avoid arrest.
acumen | noun | The ability to make good judgments and quick decisions.
adroit | adjective | Clever or skillful.
alacrity | noun | Brisk and cheerful readiness.
ambivalent | adjective | Having mixed feelings or contradictory ideas about something.
amorphous | adjective | Without a clearly defined shape or form.
anachronism | noun | A thing belonging to a period other than the one in which it exists.
anathema | noun | Something or someone one vehemently dislikes.
antediluvian | adjective | Belonging to the time before the biblical Flood; ridiculously old-fashioned.
aplomb | noun | Self-confidence or assurance, especially in a demanding situation.
apocryphal | adjective | Of doubtful authenticity, although widely circulated as true.
arcane | adjective | Understood by few; mysterious or secret.
ardent | adjective | Enthusiastic or passionate.
assuage | verb | To make an unpleasant feeling less intense.
audacious | adjective | Showing a willingness to take surprisingly bold risks.
avuncular | adjective | Kind and friendly toward a younger or less experienced person.
bamboozled | adjective | Tricked or confused.
beguile | verb | To charm or enchant, sometimes in a deceptive way.
bellicose | adjective | Demonstrating aggression and willingness to fight.
bibliophile | noun | A person who collects or has a great love of books.
blandishments | noun | Flattering statements used to persuade.
blithe | adjective | Showing a casual and cheerful indifference.
bombastic | adjective | High-sounding but with little meaning; inflated.
braggadocio | noun | Boastful or arrogant behavior.
bravado | noun | A bold manner intended to impress or intimidate.
brusque | adjective | Abrupt or offhand in speech or manner.
bucolic | adjective | Relating to the pleasant aspects of the countryside.
cacophony | noun | A harsh, discordant mixture of sounds.
cajole | verb | To persuade someone by sustained coaxing or flattery.
callipygian | adjective | Having shapely buttocks.
callous | adjective | Showing an insensitive disregard for others.
camaraderie | noun | Mutual trust and friendship among people who spend time together.
candor | noun | The quality of being open and honest.
capricious | adjective | Given to sudden and unaccountable changes of mood or behavior.
catharsis | noun | The process of releasing strong or repressed emotions.
caustic | adjective | Able to burn through chemical action; sarcastic in a scathing way.
charlatan | noun | A person falsely claiming special knowledge or skill.
chimerical | adjective | Existing only as the product of unchecked imagination.
circumlocution | noun | The use of many words where fewer would do.
clandestine | adjective | Kept secret or done secretively.
cognoscenti | noun | People who are especially well informed about a subject.
collusion | noun | Secret or illegal cooperation to deceive others.
conflagration | noun | An extensive fire that destroys a great deal.
conundrum | noun | A confusing and difficult problem or question.
convivial | adjective | Friendly, lively, and enjoyable.
copious | adjective | Abundant in supply or quantity.
coterie | noun | A small group of people with shared interests.
covfefe | noun | A nonsense word from a 2017 tweet by Donald Trump.
craven | adjective | Contemptibly lacking in courage; cowardly.
crepuscular | adjective | Relating to twilight; active at twilight.
cryptic | adjective | Having a meaning that is mysterious or obscure.
cynosure | noun | A person or thing that is the center of attention or admiration.
debacle | noun | A sudden and ignominious failure; a fiasco.
debonair | adjective | Confident, stylish, and charming.
decrepit | adjective | Worn out or ruined because of age or neglect.
deleterious | adjective | Causing harm or damage.
demagogue | noun | A political leader who appeals to popular prejudices.
denouement | noun | The final part of a narrative where the strands are drawn together.
desultory | adjective | Lacking a plan, purpose, or enthusiasm.
diaphanous | adjective | Light, delicate, and translucent.
dilettante | noun | A person who cultivates an interest without real commitment or knowledge.
disheveled | adjective | Untidy; disordered.
doldrums | noun | A state of stagnation or depression; calm regions near the equator.
draconian | adjective | Excessively harsh and severe.
ebullient | adjective | Cheerful and full of energy.
effervescent | adjective | Giving off bubbles; vivacious and enthusiastic.
effrontery | noun | Insolent or impertinent behavior.
egregious | adjective | Outstandingly bad; shocking.
eldritch | adjective | Weird and sinister or ghostly.
eloquent | adjective | Fluent or persuasive in speaking or writing.
emollient | adjective | Soothing to the skin; attempting to avoid confrontation.
enigma | noun | A person or thing that is mysterious or difficult to understand.
ennui | noun | A feeling of listlessness and dissatisfaction arising from boredom.
epiphany | noun | A moment of sudden and great revelation.
equanimity | noun | Mental calmness and composure, especially in difficult situations.
esoteric | adjective | Intended for or understood by only a small number of people.
euphemism | noun | A mild word substituted for one considered too harsh.
euphoria | noun | A feeling of intense excitement and happiness.
exacerbate | verb | To make a problem or bad situation worse.
execrable | adjective | Extremely bad or unpleasant.
exuberant | adjective | Full of energy, excitement, and cheerfulness.
facetious | adjective | Treating serious issues with inappropriate humor.
fastidious | adjective | Very attentive to accuracy and detail; hard to please.
fiasco | noun | A complete failure, especially a ludicrous or humiliating one.
filibuster | noun | Prolonged speaking to obstruct progress in a legislative assembly.
flamboyant | adjective | Tending to attract attention because of exuberance or confidence.
flippant | adjective | Not showing a serious or respectful attitude.
flotsam | noun | Floating wreckage of a ship; people or things considered worthless.
foible | noun | A minor weakness or eccentricity in someone's character.
forlorn | adjective | Pitifully sad and abandoned or lonely.
fracas | noun | A noisy disturbance or quarrel.
frisson | noun | A sudden strong feeling of excitement or fear; a thrill.
furtive | adjective | Attempting to avoid notice, typically because of guilt.
garrulous | adjective | Excessively talkative, especially on trivial matters.
gauche | adjective | Unsophisticated and socially awkward.
gossamer | noun | A fine, filmy substance of cobwebs; something very light and delicate.
grandiloquent | adjective | Pompous or extravagant in language, style, or manner.
gregarious | adjective | Fond of company; sociable.
halcyon | adjective | Denoting a period of time in the past that was idyllically happy.
harangue | noun | A lengthy and aggressive speech.
hegemony | noun | Leadership or dominance, especially by one state or social group.
histrionic | adjective | Overly theatrical or melodramatic in character or style.
