# More distinctive vocabulary
# word | part of speech | definition
abhorrent | adjective | Inspiring disgust and loathing; repugnant.
abstruse | adjective | Difficult to understand; obscure.
accolade | noun | An award or privilege granted as a special honor.
acerbic | adjective | Sharp and forthright in tone.
adage | noun | A proverb or short statement expressing a general truth.
adulation | noun | Obsequious flattery; excessive admiration.
affable | adjective | Friendly, good-natured, or easy to talk to.
akimbo | adverb | With hands on the hips and elbows turned outward.
albeit | conjunction | Though.
allure | noun | The quality of being powerfully and mysteriously attractive.
amok | adverb | Behaving uncontrollably and disruptively, as in "run amok."
anomaly | noun | Something that deviates from what is standard or expected.
antics | noun | Foolish, outrageous, or amusing behavior.
aplenty | adjective | In abundance.
askance | adverb | With an attitude or look of suspicion or disapproval.
askew | adverb | Not in a straight or level position.
awry | adverb | Away from the appropriate or expected course; amiss.
balmy | adjective | Pleasantly warm; foolish or crazy.
banal | adjective | So lacking in originality as to be obvious and boring.
bawdy | adjective | Dealing with sexual matters in a comical way.
bedraggled | adjective | Dirty and disheveled.
berserk | adjective | Out of control with anger or excitement; wild or frenzied.
bespoke | adjective | Made for a particular customer or user.
bewildered | adjective | Perplexed and confused.
bigot | noun | A person who is intolerant toward those holding different opinions.
bluster | verb | To talk in a loud, aggressive, or indignant way with little effect.
boisterous | adjective | Noisy, energetic, and cheerful; rowdy.
boorish | adjective | Rough and bad-mannered; coarse.
bravado | noun | A bold manner intended to impress or intimidate.
brazen | adjective | Bold and without shame.
bumbling | adjective | Acting in a confused or ineffective way.
burly | adjective | Large and strong; heavily built.
cagey | adjective | Reluctant to give information owing to caution or suspicion.
canny | adjective | Having or showing shrewdness and good judgment.
carousing | noun | Drinking plenty of alcohol and enjoying oneself noisily.
chaotic | adjective | In a state of complete confusion and disorder.
cherubic | adjective | Having the plump innocence of a cherub.
chivalrous | adjective | Courteous and gallant, especially toward women.
churlish | adjective | Rude in a mean-spirited and surly way.
clamor | noun | A loud and confused noise.
clumsy | adjective | Awkward in movement or in handling things.
cocksure | adjective | Presumptuously or arrogantly confident.
comely | adjective | Pleasant to look at; attractive.
contraption | noun | A machine or device that appears strange or unnecessarily complicated.
cowering | adjective | Crouching down in fear.
crestfallen | adjective | Sad and disappointed.
curt | adjective | Rudely brief.
dapper | adjective | Neat and trim in dress, appearance, or bearing.
daunting | adjective | Seeming difficult to deal with in anticipation; intimidating.
dawdle | verb | To waste time; to be slow.
deadpan | adjective | Deliberately impassive or expressionless.
deluge | noun | A severe flood; an overwhelming amount of something.
devious | adjective | Showing a skillful use of underhanded tactics.
dicey | adjective | Unpredictable and potentially dangerous.
disgruntled | adjective | Angry or dissatisfied.
dismal | adjective | Depressing; dreary; pitifully inadequate.
dour | adjective | Relentlessly severe, stern, or gloomy.
drab | adjective | Lacking brightness or interest; dreary.
dubious | adjective | Hesitating or doubting; not to be relied upon.
dulcet | adjective | Sweet and soothing, especially of sound.
eccentric | adjective | Unconventional and slightly strange.
eerie | adjective | Strange and frightening.
effusive | adjective | Expressing feelings of gratitude or pleasure in an unrestrained way.
embroiled | adjective | Deeply involved in a conflict or difficult situation.
epic | noun | A long poem narrating heroic deeds; something grand in scale.
errant | adjective | Erring from proper standards; traveling in search of adventure.
exquisite | adjective | Extremely beautiful and delicate.
fathom | verb | To understand after much thought; a measure of water depth.
feckless | adjective | Lacking initiative or strength of character; irresponsible.
feisty | adjective | Lively, determined, and courageous.
