# Colorful adjectives and adverbs
# word | part of speech | definition
abysmal | adjective | Extremely bad; appalling.
addlepated | adjective | Confused; muddled.
agape | adjective | Wide open, especially with surprise.
antsy | adjective | Agitated, impatient, or restless.
bashful | adjective | Reluctant to draw attention to oneself; shy.
beady | adjective | Small, round, and gleaming, of eyes.
bedazzled | adjective | Greatly impressed; decorated with glittery objects.
beefy | adjective | Muscular or robust.
bleary | adjective | Unfocused from sleep or tiredness, of eyes.
blissful | adjective | Extremely happy; full of joy.
boneheaded | adjective | Stupid.
brawny | adjective | Physically strong; muscular.
bulbous | adjective | Round or bulging in shape.
chintzy | adjective | Decorated with chintz; cheap and tasteless.
chipper | adjective | Cheerful and lively.
chubby | adjective | Plump and rounded.
chummy | adjective | Very friendly.
clammy | adjective | Unpleasantly damp and sticky.
clunky | adjective | Solid, heavy, and old-fashioned; awkward.
cockeyed | adjective | Crooked or askew; absurd.
creaky | adjective | Making a creaking sound; old and in poor condition.
crotchety | adjective | Irritable.
cushy | adjective | Undemanding, easy, or secure.
daft | adjective | Silly; foolish.
dainty | adjective | Delicately small and pretty.
dank | adjective | Disagreeably damp, musty, and cold.
dilapidated | adjective | In a state of disrepair or ruin.
dimwitted | adjective | Stupid.
dingy | adjective | Gloomy and drab.
dippy | adjective | Foolish or eccentric.
dodgy | adjective | Dishonest or unreliable (British).
doleful | adjective | Expressing sorrow; mournful.
dopey | adjective | Stupefied by drugs or sleep; idiotic.
dowdy | adjective | Unfashionable and without style.
dumbfounded | adjective | Greatly astonished or amazed.
fetid | adjective | Smelling extremely unpleasant.
fiendish | adjective | Extremely cruel; extremely difficult.
flaky | adjective | Breaking into flakes; unreliable or eccentric.
foppish | adjective | Excessively concerned with one's clothes and appearance.
freaky | adjective | Very odd or strange.
frenetic | adjective | Fast and energetic in a rather wild and uncontrolled way.
frothy | adjective | Full of froth; entertaining but insubstantial.
gangly | adjective | Tall, thin, and awkward.
garish | adjective | Obtrusively bright and showy; lurid.
ginormous | adjective | Extremely large.
