# Travel, transport, circus, fairs, holidays, and celebrations
# word | part of speech | definition
aerodrome | noun | A small airport or airfield (British, dated).
airmail | noun | A system of transporting mail by aircraft.
autobahn | noun | A German, Austrian, or Swiss expressway.
backpacker | noun | A person who travels with a backpack, typically on a low budget.
barnstorming | noun | Touring rural areas giving shows or making political speeches.
bobsleigh | noun | A bobsled (British).
busker | noun | A person who performs music in the street for donations.
calliope | noun | A keyboard instrument with steam whistles, used on showboats and carousels.
caravan | noun | A vehicle equipped for living in; a group traveling together through a desert.
carnival | noun | A festival with processions and music; a traveling funfair.
carpool | noun | An arrangement among people to share car journeys.
christening | noun | The ceremony of baptizing and naming a child.
circus | noun | A traveling company of acrobats, clowns, and animals.
contortionist | noun | An entertainer who twists and bends their body into unusual positions.
cotillion | noun | A formal ball, especially one for debutantes.
funfair | noun | A fair with rides and games (British).
grandstand | noun | The main seating area at a racecourse or stadium.
halloween | noun | The night of October 31, celebrated with costumes and trick-or-treating.
hayride | noun | A ride in a wagon full of hay for entertainment.
hitchhiking | noun | Traveling by getting free lifts in passing vehicles.
homecoming | noun | An instance of returning home; an annual school celebration.
hotelier | noun | A person who owns or manages a hotel.
housewarming | noun | A party celebrating a move to a new home.
jetliner | noun | A large jet aircraft carrying passengers.
jubilee | noun | A special anniversary, especially of a reign.
juggler | noun | A person who juggles.
layover | noun | A period of rest or waiting before a further stage in a journey.
masquerade | noun | A ball at which participants wear masks; a false show or pretense.
menagerie | noun | A collection of wild animals kept in captivity for exhibition.
merrymaking | noun | Fun; festivity.
monorail | noun | A railway in which the track consists of a single rail.
motorcade | noun | A procession of motor vehicles.
odyssey | noun | A long and eventful or adventurous journey.
pinata | noun | A decorated container filled with sweets, broken open with a stick.
propeller | noun | A mechanical device for propelling a boat or aircraft.
railcar | noun | A self-propelled railway passenger vehicle.
sideshow | noun | A small show at a fair or circus; a minor event.
skycap | noun | A porter at an airport.
spaceport | noun | A base from which spacecraft are launched.
stopover | noun | A break in a journey.
taxicab | noun | A taxi.
tightrope | noun | A rope stretched tightly high above the ground, on which acrobats perform.
trapeze | noun | A horizontal bar hung by ropes, used by acrobats.
travelogue | noun | A film, book, or illustrated lecture about travel.
turnstile | noun | A mechanical gate allowing one person at a time to pass.
yuletide | noun | The Christmas season.

