# Office life, media, advertising, and business jargon
# word | part of speech | definition
advertorial | noun | An advertisement in the form of editorial content.
brainchild | noun | An idea or invention originating with a particular person.
dictaphone | noun | A trademarked machine for recording speech for transcription.
headhunter | noun | A person who identifies and approaches suitable candidates for jobs; a person who collects heads.
infographic | noun | A visual image such as a chart used to represent information.
micromanage | verb | To control every part of a group's work, however small.
mogul | noun | An important or powerful person; a bump on a ski slope.
nitpicker | noun | A person who looks for small errors.
paperboy | noun | A boy who delivers newspapers.
pinstripe | noun | A very narrow stripe in cloth, typical of formal suits.
pitchman | noun | A person who delivers a sales pitch.
potboiler | noun | A book or painting produced merely to make money.
publicist | noun | A person responsible for publicizing a product or person.
stenography | noun | The action or process of writing in shorthand.
synergy | noun | The interaction of elements that produces a combined effect greater than their sum.
telegraphist | noun | A person who sends and receives telegraph messages.
teleprompter | noun | A device that displays text for a speaker.
timecard | noun | A card recording an employee's working hours.
webinar | noun | A seminar conducted over the internet.
whistleblower | noun | A person who exposes illicit activity within an organization.
