# The outdoors, the Wild West, camping, hunting, and the frontier
# word | part of speech | definition
bandolier | noun | A shoulder belt with loops for cartridges.
bedroll | noun | A portable roll of bedding.
blowgun | noun | A tube through which darts are blown.
boomtown | noun | A town undergoing rapid growth due to sudden prosperity.
bronco | noun | A wild or half-tamed horse.
buckaroo | noun | A cowboy.
buckshot | noun | Coarse lead shot used in shotgun shells.
buffalo | noun | A bison; a heavily built wild ox.
bushcraft | noun | Skill in living in the bush or wilderness.
cattleman | noun | A person who tends or rears cattle.
chaps | noun | Leather leggings worn by cowboys; men or boys.
chuckwagon | noun | A wagon carrying cooking supplies on a ranch or trail.
corral | noun | A pen for livestock on a farm or ranch.
cowpoke | noun | A cowboy.
cowhand | noun | A cowboy.
derringer | noun | A small pistol with a large bore.
dogsled | noun | A sled pulled by dogs.
fishhook | noun | A barbed hook for catching fish.
frontiersman | noun | A man living in the region of a frontier.
gallows | noun | A structure for hanging a person.
greenhorn | noun | An inexperienced or naive person.
gunfight | noun | A fight involving an exchange of gunfire.
gunpowder | noun | An explosive consisting of saltpeter, sulfur, and charcoal.
homestead | noun | A house with outbuildings; land granted to a settler.
horseshoe | noun | A U-shaped iron plate nailed to a horse's hoof.
knapsack | noun | A bag with shoulder straps carried on the back.
lariat | noun | A rope used as a lasso or for tethering.
lasso | noun | A rope with a noose at one end, used for catching cattle.
lawman | noun | A law enforcement officer, especially a sheriff.
longhorn | noun | An animal of a breed of cattle with very long horns.
lynching | noun | The killing of someone by a mob without legal trial.
mountaineer | noun | A person who climbs mountains.
mustang | noun | A small, lightly built feral horse.
packhorse | noun | A horse used to carry loads.
panhandler | noun | A person who begs in the street.
poncho | noun | A garment made of a thick piece of woolen cloth with a slit for the head.
posse | noun | A body of men summoned by a sheriff to enforce the law.
quicksilver | noun | Liquid mercury; moving or changing rapidly.
rawhide | noun | Stiff untanned leather.
saddlebag | noun | A bag attached to a saddle.
sagebrush | noun | An aromatic shrub of arid regions of western North America.
sharpshooter | noun | A person skilled in shooting.
sheriff | noun | An elected officer in a county responsible for keeping the peace.
snowshoe | noun | A flat device attached to a boot for walking on snow.
spurs | noun | Devices with a small spike worn on a rider's heel.
stampede | noun | A sudden panicked rush of a number of horses or cattle.
tenderfoot | noun | A newcomer or novice.
trailhead | noun | The beginning of a trail.
trapper | noun | A person who traps wild animals for their fur.
tumbleweed | noun | A plant that breaks off and is blown about by the wind.
varmint | noun | A troublesome wild animal; a troublesome person.
whittling | noun | Carving wood with a knife.
winchester | noun | A trademarked breech-loading lever-action rifle.
woodsman | noun | A forester, hunter, or woodcutter.
