# Childhood, toys, family, and home life
# word | part of speech | definition
babysitting | noun | Looking after a child while the parents are out.
bicker | verb | To argue about petty matters.
bogeyman | noun | An imaginary evil spirit used to frighten children.
buggy | noun | A small horse-drawn carriage; a pushchair; adjective: full of bugs.
clubhouse | noun | A building used by a club; a children's den.
dollhouse | noun | A toy house for dolls.
dummy | noun | A model of a human being; a pacifier (British); a stupid person.
firstborn | noun | The first child born to parents.
godparent | noun | A person who presents a child at baptism.
hobbyhorse | noun | A child's toy of a horse's head on a stick; a preoccupation.
homeschooling | noun | The education of children at home.
kiddo | noun | A friendly or familiar form of address for a child.
kindergartner | noun | A child who attends kindergarten.
latchkey | noun | A key to an outer door; describing a child left alone after school.
lunchbox | noun | A container for carrying a packed lunch.
matchbox | noun | A small box in which matches are sold.
pacifier | noun | A rubber or plastic nipple for a baby to suck on.
paddling | noun | Walking with bare feet in shallow water.
peashooter | noun | A toy weapon consisting of a small tube for blowing peas.
piggyback | noun | A ride on someone's back and shoulders.
playdate | noun | A date arranged by parents for children to play together.
playhouse | noun | A toy house for children to play in; a theater.
playpen | noun | A small portable enclosure in which a baby or small child can play safely.
pram | noun | A four-wheeled carriage for a baby (British).
pushchair | noun | A folding chair on wheels in which a young child is pushed along (British).
rompers | noun | A one-piece garment for a young child.
sandbox | noun | A shallow box filled with sand for children to play in.
sandcastle | noun | A model of a castle built in sand.
schoolyard | noun | The grounds of a school, used for play.
seesaw | noun | A long plank balanced in the middle for children to ride up and down.
snowman | noun | A figure resembling a person, made from compressed snow.
teether | noun | A small ring or toy for a baby to bite on while teething.
teething | noun | The process of growing one's first teeth.
tiddler | noun | A small fish; a young child (British).
tricycle | noun | A vehicle similar to a bicycle but with three wheels.
