# Music, pastimes and crazes: sharp rises that usually fall away just as fast.
discotheque | noun | A club where people dance to recorded music.
technicolor | noun | A process giving films vivid colour.
soap | noun | A cleaning substance; a long-running television drama.
telethon | noun | A long broadcast appeal for donations.
fandom | noun | The community of a thing's enthusiasts.
craze | noun | A short-lived enthusiasm.
fad | noun | A fashion taken up briefly and then dropped.
top | noun | The highest part; a spinning toy; a garment.
perm | noun | A treatment putting lasting waves in hair.
moustache | noun | Hair grown on the upper lip.
macrame | noun | The craft of knotting cord into patterns.
needlepoint | noun | Embroidery worked on canvas.
scrapbook | noun | A book for sticking in cuttings and mementoes.
roller | noun | A cylinder that rolls; part of a skate.
bicycling | noun | The riding of bicycles.
motoring | noun | The driving of motor cars for pleasure.
camping | noun | Living outdoors in a tent for a time.
symphony | noun | A long piece for full orchestra.
concerto | noun | A piece for a soloist with orchestra.
anthem | noun | A rousing song identified with a group or nation.
hymnal | noun | A book of hymns.
etiquette | noun | The rules of polite behaviour.
chaperone | noun | An older person accompanying a young woman in public.
courtship | noun | The period of wooing before marriage.
elopement | noun | A running away to marry in secret.
