abdication | noun | The formal giving up of a throne or office.
acetylene | noun | A gas burned to give a bright flame for lamps and welding.
admiralty | noun | The department governing a country's navy.
agitator | noun | A person who stirs up public feeling for a cause.
alienist | noun | An old term for a doctor treating mental illness.
allotment | noun | A small plot of public land rented for growing food.
ambassador | noun | A country's senior representative abroad.
ambulance | noun | A vehicle for carrying the sick and injured.
amphetamine | noun | A drug that stimulates the nervous system.
animation | noun | Liveliness; the making of films from drawings.
anthracite | noun | A hard coal that burns with little smoke.
antitrust | adjective | Aimed at preventing monopolies in business.
apprenticeship | noun | A period of learning a trade under an employer.
arbitration | noun | The settling of a dispute by an impartial judge.
archduke | noun | A prince of the former Austrian imperial house.
armory | noun | A place where weapons are stored.
arsenic | noun | A highly poisonous chemical element.
assassination | noun | The murder of a prominent person.
atheism | noun | The belief that no god exists.
atrium | noun | A central hall rising through a building; a chamber of the heart.
auction | noun | A public sale to the highest bidder.
autocrat | noun | A ruler with absolute power.
aviation | noun | The flying and design of aircraft.
awning | noun | A sheet of canvas stretched over a window or door for shade.
balloonist | noun | A person who flies in a hot-air or gas balloon.
banister | noun | The handrail of a staircase.
baptism | noun | The Christian rite of admission with water.
barbershop | noun | A shop where hair is cut; a style of close-harmony singing.
baroness | noun | A woman holding the rank of baron.
barracks | noun | Buildings where soldiers live.
bathhouse | noun | A public building with baths.
beacon | noun | A light or fire used as a signal or guide.
beeswax | noun | The wax bees make, used for candles and polish.
beggar | noun | A person who lives by asking for money.
benefactor | noun | A person who gives money or help to a cause.
bequest | noun | Something left to someone in a will.
bereavement | noun | The loss of a loved one by death.
billiards | noun | A game of balls struck with cues on a cloth table.
bishopric | noun | The district or office of a bishop.
bleachers | noun | Cheap uncovered seats at a sports ground.
blockhouse | noun | A small fort with loopholes for firing.
boarder | noun | A lodger who also takes meals; a pupil living at school.
bobbin | noun | A spool holding thread in sewing or weaving.
bolster | noun | A long pillow; a support.
bombast | noun | Inflated language meant to impress.
bondage | noun | The state of being a slave or tightly bound.
bookmobile | noun | A van carrying a lending library to villages.
boudoir | noun | A woman's private sitting room.
boulevard | noun | A wide city street lined with trees.
bounty | noun | A reward offered for a capture or a service.
brawl | noun | A rough noisy fight.
brazier | noun | A metal pan for holding burning coals.
breadline | noun | A queue of people waiting for free food.
brewer | noun | A person or company that makes beer.
bridle | noun | The headgear used to control a horse.
brigade | noun | A large army unit; an organized group of workers.
brimstone | noun | An old name for sulphur.
broker | noun | A person who buys and sells on behalf of others.
brothel | noun | A house where prostitution takes place.
brougham | noun | A closed four-wheeled horse-drawn carriage.
bullfight | noun | A public spectacle in which a bull is fought.
bullpen | noun | An enclosure for bulls; where baseball pitchers warm up.
bunting | noun | Small flags strung up for a celebration.
buoy | noun | A floating marker anchored in water.
bursar | noun | The officer who manages money at a school or college.
cabinetmaker | noun | A skilled maker of fine furniture.
cadet | noun | A young person training for the armed forces or police.
caisson | noun | A watertight chamber for underwater work; an ammunition wagon.
calamity | noun | A disaster causing great distress.
cameo | noun | A carved stone portrait in relief; a brief acting role.
camphor | noun | A strong-smelling white substance used in medicine and mothballs.
canvass | verb | To seek votes or opinions by going door to door.
carbine | noun | A short rifle, originally for cavalry.
cartridge | noun | A case holding a bullet and its charge; a replaceable container.
casket | noun | A small box for valuables; a coffin.
catapult | noun | A machine for hurling stones; a forked sling.
cavalcade | noun | A procession of riders or vehicles.
cement | noun | A powder that sets hard and binds building materials.
censor | noun | An official who suppresses parts of books, films or letters.
census | noun | An official count of a population.
