ceramics | noun | The making of pots and other objects from fired clay.
chaff | noun | The husks separated from grain; worthless matter.
chalice | noun | A large cup used in religious services.
chancellor | noun | A senior state or university officer.
charcoal | noun | A black fuel made by charring wood.
chartist | noun | A supporter of the nineteenth-century movement for voting rights.
chassis | noun | The frame on which a vehicle is built.
chess | noun | A board game of strategy for two players.
choir | noun | An organized group of singers.
chronicle | noun | A record of events in the order they happened.
cigar | noun | A roll of tobacco leaves for smoking.
cipher | noun | A code; a zero; a person of no importance.
citadel | noun | A fortress commanding a city.
clapboard | noun | A long thin board overlapped as outside walling.
claret | noun | A dry red wine from Bordeaux.
clergy | noun | The body of people ordained for religious service.
clerk | noun | An office worker who keeps records.
clinic | noun | A place where patients are examined and treated.
cloakroom | noun | A room where coats and bags are left.
clothier | noun | A maker or seller of clothes and cloth.
cockpit | noun | The pilot's compartment; a pit for cockfights.
codex | noun | An ancient manuscript book.
coeducation | noun | The teaching of boys and girls together.
coffeehouse | noun | A house where coffee is served and people gather to talk.
coffer | noun | A strongbox for valuables; a store of money.
collier | noun | A coal miner, or a ship carrying coal.
colonnade | noun | A row of columns supporting a roof.
colossus | noun | A statue much larger than life; a person of great power.
commissary | noun | A store supplying food to a camp or army.
commonwealth | noun | A state or group of states founded on common interest.
commune | noun | A group living together and sharing possessions.
composer | noun | A person who writes music.
concubine | noun | A woman living with a man without marriage, in some societies.
conductor | noun | A person who directs an orchestra or collects fares.
confectionery | noun | Sweets and chocolate, or the trade in them.
confederacy | noun | A league of states or people joined for a purpose.
confessional | noun | A booth in which a priest hears confession.
congregation | noun | The people gathered for a religious service.
conquest | noun | The taking of land or people by force.
conscript | noun | A person compulsorily enrolled into the army.
conservatory | noun | A glass room for plants; a school of music.
consignment | noun | A batch of goods sent for sale.
consortium | noun | An association of companies acting together.
constable | noun | A police officer of the lowest rank.
consul | noun | An official posted abroad to help citizens and trade.
consumerism | noun | The preoccupation with buying goods.
convict | noun | A person serving a prison sentence.
copperplate | noun | An engraved printing plate; a neat looping handwriting.
coronation | noun | The crowning of a monarch.
coroner | noun | An official who investigates sudden deaths.
corporal | noun | A junior rank of non-commissioned officer.
corporation | noun | A large company recognized in law as a single body.
cortege | noun | A solemn procession, especially at a funeral.
cosmetics | noun | Preparations applied to the face and body.
councilman | noun | An elected member of a town or city council.
coupon | noun | A voucher entitling the holder to a discount or ration.
coverlet | noun | A decorative cover for a bed.
craftsman | noun | A skilled worker who makes things by hand.
creamery | noun | A place where butter and cheese are made.
credenza | noun | A low sideboard or cupboard.
creditor | noun | A person or firm to whom money is owed.
cremation | noun | The burning of a body after death.
crier | noun | An official who shouts public announcements.
crockery | noun | Plates, cups and dishes of earthenware.
crofter | noun | A tenant of a small Scottish farm.
crucible | noun | A pot for melting metals; a severe test.
cruiser | noun | A fast warship; a large pleasure boat.
culvert | noun | A drain or pipe carrying water under a road.
cupola | noun | A small dome on a roof.
curate | noun | A junior clergyman assisting a parish priest.
currency | noun | The money in use in a country.
custodian | noun | A person who looks after a building or collection.
cutlery | noun | Knives, forks and spoons.
cyclist | noun | A person riding a bicycle.
cymbals | noun | Brass plates struck together to make a clash.
czar | noun | An emperor of Russia; an official with wide powers.
dagger | noun | A short knife used as a weapon.
dancehall | noun | A hall where public dances are held.
dealership | noun | A business licensed to sell a maker's goods.
decree | noun | An order issued by an authority.
deed | noun | A thing done; a legal document transferring property.
deficit | noun | The amount by which spending exceeds income.
delegate | noun | A person sent to represent others.
delicatessen | noun | A shop selling prepared foods and fine groceries.
demolition | noun | The pulling down of buildings.
dentistry | noun | The treatment of teeth.
depot | noun | A storehouse; a station for buses or trains.
derrick | noun | A crane; the framework over an oil well.
desertion | noun | The abandoning of a post, duty or family.
destitution | noun | Extreme poverty.
detergent | noun | A chemical cleaning agent used with water.
detonator | noun | A device that sets off an explosive.
dialect | noun | A regional form of a language.
diary | noun | A daily record of events.
dignitary | noun | A person holding high office.
diligence | noun | Careful and persistent effort.
