diocese | noun | The district under a bishop's care.
diploma | noun | A certificate showing a course has been completed.
diplomat | noun | An official who represents a country abroad.
directory | noun | A book listing names and addresses.
disciple | noun | A follower of a teacher or doctrine.
dispensation | noun | An exemption from a rule; the handing out of something.
dissenter | noun | A person who refuses to accept an established church or view.
distaff | noun | A rod holding wool for spinning; the female side of a family.
ditty | noun | A short simple song.
dividend | noun | A share of profits paid to shareholders.
divination | noun | The attempt to foretell the future by signs.
doctorate | noun | The highest university degree.
dogcart | noun | A light cart pulled by a horse or dog.
dominion | noun | Control or rule; a self-governing territory.
draftsman | noun | A person who makes technical drawings.
dragoon | noun | A mounted soldier of certain regiments.
drapery | noun | Cloth hung in loose folds; the cloth trade.
dressmaker | noun | A person who makes women's clothes.
drover | noun | A person who drives cattle or sheep to market.
drugstore | noun | A shop selling medicines and sundries.
ducat | noun | An old European gold coin.
duchess | noun | The wife of a duke, or a woman holding that rank.
duel | noun | A prearranged fight between two people with weapons.
dumbwaiter | noun | A small lift for carrying food between floors.
duplicator | noun | A machine that makes copies of documents.
dwelling | noun | A house or place where someone lives.
earldom | noun | The rank or lands of an earl.
earnings | noun | Money obtained from work or investment.
earthenware | noun | Pottery made of baked clay.
easel | noun | A frame supporting a painting or board.
effigy | noun | A model of a person, often burned in protest.
eiderdown | noun | A quilt stuffed with soft duck feathers.
elevator | noun | A lift; a tall building for storing grain.
eloquence | noun | Fluent and persuasive speaking.
embalming | noun | The preserving of a body after death.
embankment | noun | A bank of earth carrying a road or holding back water.
embargo | noun | An official ban on trade with a country.
embassy | noun | The residence and staff of an ambassador.
emblem | noun | A design standing for an idea or group.
emigration | noun | The leaving of one's country to settle elsewhere.
employer | noun | A person or firm that pays others to work.
enamel | noun | A glassy coating fused onto metal; the hard surface of teeth.
enclosure | noun | A fenced area; the old taking of common land into private hands.
endowment | noun | Money given to support an institution.
engraving | noun | A print made from an incised plate.
enlistment | noun | The act of joining the armed forces.
ensign | noun | A flag flown by a ship; a junior naval officer.
envoy | noun | A messenger or diplomat sent on a mission.
epitaph | noun | Words written on a tombstone.
equator | noun | The imaginary line around the middle of the earth.
errand | noun | A short journey made to fetch or deliver something.
escort | noun | A person or group accompanying another for protection.
essayist | noun | A writer of essays.
estate | noun | Landed property; all that a person owns at death.
eulogy | noun | A speech of high praise, especially for the dead.
examination | noun | A formal test of knowledge; a careful inspection.
excavator | noun | A machine or person that digs.
excise | noun | A tax on goods made and sold within a country.
executioner | noun | A person who carries out a death sentence.
exhibition | noun | A public display of works or goods.
exile | noun | Enforced absence from one's country.
expatriate | noun | A person living outside their native country.
explosive | noun | A substance that can be made to blow up.
exporter | noun | A person or firm selling goods abroad.
exposition | noun | A large public exhibition; a detailed explanation.
factotum | noun | A servant or employee who does all kinds of work.
falconry | noun | The keeping and flying of hawks for sport.
feast | noun | A large meal for a celebration; a religious festival.
feldspar | noun | A common rock-forming mineral.
ferryman | noun | A man who takes people across water by boat.
fiddler | noun | A person who plays the fiddle.
fiefdom | noun | An estate held from a lord; a small domain of control.
filigree | noun | Delicate ornamental work in fine wire.
finery | noun | Showy clothes and ornaments.
firearm | noun | A gun that can be carried and fired by hand.
fireman | noun | A person who puts out fires or tends a furnace.
fishery | noun | A place where fish are caught or bred.
fleece | noun | The woolly coat of a sheep.
florin | noun | An old coin worth two shillings.
fodder | noun | Food for cattle and horses.
folio | noun | A large sheet folded once; a book of such sheets.
forage | noun | Food for animals; the search for provisions.
forecast | noun | A statement of what is expected, especially of weather.
forester | noun | A person in charge of a forest.
formaldehyde | noun | A pungent gas used in preservatives and plastics.
fortress | noun | A large fortified building or town.
