foundling | noun | An abandoned infant found and cared for by others.
fowl | noun | A bird kept for its eggs or meat.
freemason | noun | A member of a secretive fraternal order.
freighter | noun | A ship or aircraft carrying cargo.
friar | noun | A member of a religious order who lives by charity.
fulcrum | noun | The point on which a lever turns.
fumigation | noun | The use of fumes to kill pests or germs.
furnace | noun | An enclosed chamber for intense heat.
furrier | noun | A dealer in furs.
fusilier | noun | A soldier of a regiment once armed with light muskets.
gable | noun | The triangular upper part of a wall under a pitched roof.
gallantry | noun | Brave behaviour, especially in battle; courteous attention.
gambit | noun | An opening move made to gain an advantage.
garrote | noun | A cord used to strangle; execution by strangling.
gasworks | noun | A plant that made gas from coal for lighting and heating.
gazetteer | noun | A geographical index or dictionary of places.
gendarme | noun | A police officer in France and some other countries.
gentry | noun | People of good social position below the nobility.
ghetto | noun | A part of a city where a minority group is confined.
gilding | noun | A thin covering of gold.
glassblower | noun | A worker who shapes molten glass by blowing.
glassware | noun | Articles made of glass.
glider | noun | An aircraft that flies without an engine.
glossary | noun | A list of terms with their meanings.
glutton | noun | A person who eats to excess.
goblet | noun | A drinking glass with a stem.
goldsmith | noun | A worker in gold.
graduate | noun | A person who has completed a degree.
grandeur | noun | Impressive splendour or dignity.
greenback | noun | A United States banknote.
grocery | noun | A shop selling food; the goods it sells.
grotto | noun | A small cave, often decorated as a garden feature.
guardhouse | noun | A building for a military guard or prisoners.
guildhall | noun | The meeting hall of a guild or town council.
gunboat | noun | A small armed vessel used on rivers and coasts.
gymnasium | noun | A hall equipped for physical exercise.
haberdashery | noun | Sewing goods and small articles of dress.
halfpenny | noun | A former coin worth half a penny.
hamlet | noun | A small village without a church.
hamper | noun | A large basket with a lid, often of food.
handbill | noun | A printed sheet handed out in the street.
handcart | noun | A small cart pushed or pulled by hand.
handloom | noun | A weaving loom worked by hand.
hangman | noun | An executioner who hangs the condemned.
harness | noun | The straps by which a horse is fastened to a load.
harrow | noun | A frame with teeth dragged over ploughed land.
hashish | noun | A drug made from the resin of cannabis.
hatchery | noun | A place where eggs are hatched under control.
hatter | noun | A maker or seller of hats.
haulage | noun | The business of transporting goods by road.
havoc | noun | Widespread destruction or disorder.
headmaster | noun | The man in charge of a school.
headstone | noun | A stone set at the head of a grave.
henchman | noun | A loyal follower who does unpleasant work.
heraldry | noun | The system of coats of arms and their study.
herbalist | noun | A person who treats illness with plants.
hermitage | noun | The dwelling of a hermit; a secluded retreat.
herring | noun | A small silver sea fish caught in great numbers.
hexagon | noun | A figure with six sides.
hickory | noun | A North American tree with hard wood and edible nuts.
hieroglyph | noun | A picture standing for a word or sound in ancient writing.
hoard | noun | A store of things hidden away.
hobnail | noun | A short heavy nail driven into boot soles.
hogshead | noun | A large cask, and the measure it holds.
holster | noun | A leather case holding a pistol.
homespun | adjective | Made of cloth spun at home; plain and simple.
honorarium | noun | A payment for services given without a set fee.
horology | noun | The study and making of clocks.
horsecar | noun | A tram drawn by horses.
hospice | noun | A home for the dying; a lodging for travellers.
hostelry | noun | An inn.
hothouse | noun | A heated greenhouse; a place of intense activity.
housekeeper | noun | A person employed to run a household.
hovel | noun | A small squalid dwelling.
hunchback | noun | A person with a curved upper spine.
husbandry | noun | The care and breeding of farm animals and crops.
hustings | noun | The platform and proceedings of an election campaign.
hydrant | noun | A street water outlet for firefighting.
hydrogen | noun | The lightest chemical element, a colourless gas.
hypnotism | noun | The inducing of a trance in which suggestion works.
illiteracy | noun | The inability to read or write.
illustration | noun | A picture in a book; an example that explains.
imprint | noun | A mark pressed into a surface; a publisher's name.
incense | noun | A substance burned for its fragrant smoke.
indemnity | noun | Security against loss; compensation paid.
indenture | noun | A contract binding a servant or apprentice.
indigence | noun | Extreme poverty.
industrialist | noun | An owner or manager of industry.
infirmity | noun | Physical or mental weakness.
influx | noun | A flowing in of people or things.
ingot | noun | A block of cast metal.
inheritance | noun | Property or traits passed down from a predecessor.
inkstand | noun | A stand holding ink and pens on a desk.
inlet | noun | A narrow arm of the sea; an opening for intake.
