innkeeper | noun | A person who keeps an inn.
inquest | noun | An official inquiry into a sudden death.
inscription | noun | Words carved or written on something.
insignia | noun | Badges or marks of office or rank.
inspector | noun | An official who examines standards or records.
installment | noun | One of several payments; a part of a serial.
instrument | noun | A tool, or a device for making music or measuring.
insulation | noun | Material that blocks heat, sound or electricity.
insurgent | noun | A rebel against a government.
intercom | noun | A speaking system within a building or vehicle.
interpreter | noun | A person who translates speech as it happens.
intersection | noun | A place where roads cross.
inventory | noun | A full list of goods or stock.
investiture | noun | A ceremony conferring an office or honour.
invoice | noun | A bill listing goods sold and their prices.
jackknife | noun | A large folding pocket knife.
jailer | noun | A person in charge of prisoners.
jaunt | noun | A short journey taken for pleasure.
javelin | noun | A light spear thrown in sport or war.
jeopardy | noun | Danger of loss, harm or failure.
jetty | noun | A small pier where boats tie up.
joiner | noun | A carpenter who makes doors, windows and fittings.
judiciary | noun | The judges of a country taken as a whole.
junction | noun | A place where roads or railways meet.
junkyard | noun | A yard where scrap and old vehicles are kept.
jurisprudence | noun | The theory and philosophy of law.
keelboat | noun | A shallow riverboat used for freight.
kennel | noun | A shelter for a dog; a place where dogs are bred.
kerchief | noun | A cloth worn over the head or neck.
kettledrum | noun | A large drum with a rounded copper body.
kiln | noun | An oven for baking pottery, bricks or lime.
kindling | noun | Small sticks used to start a fire.
kingdom | noun | A country ruled by a king or queen.
kinsman | noun | A male relative.
kitchenette | noun | A very small kitchen.
knighthood | noun | The rank of a knight.
knoll | noun | A small rounded hill.
labyrinth | noun | A maze of winding passages.
lampoon | noun | A piece of writing that mocks someone.
lancet | noun | A small pointed surgical knife; a narrow window.
landau | noun | A four-wheeled carriage with a folding top.
landlord | noun | A person who rents out property.
lapidary | noun | A cutter of gemstones.
laundress | noun | A woman employed to wash clothes.
lavatory | noun | A room with a toilet and washbasin.
lawsuit | noun | A claim brought before a court.
layman | noun | A person without special training in a subject.
leaflet | noun | A printed sheet handed out to inform or persuade.
legation | noun | A diplomatic mission below the rank of embassy.
legislature | noun | The body that makes a country's laws.
leisure | noun | Free time away from work.
liability | noun | A debt or obligation; the state of being responsible.
lifeboat | noun | A boat kept ready to rescue people at sea.
limestone | noun | A rock used for building and making lime.
linchpin | noun | A pin holding a wheel on an axle; a vital part.
liquor | noun | Strong alcoholic drink.
litany | noun | A long series of prayers or complaints.
literacy | noun | The ability to read and write.
litigation | noun | The taking of a dispute to court.
livelihood | noun | The means by which a person earns a living.
loafer | noun | An idler; a flat slip-on shoe.
locket | noun | A small case worn on a chain holding a picture.
lodgings | noun | Rented rooms in someone else's house.
logbook | noun | A record of a ship's or vehicle's journeys.
longshoreman | noun | A dock worker who loads and unloads ships.
lookout | noun | A person keeping watch; a high place to watch from.
lorgnette | noun | Eyeglasses held on a long handle.
lorry | noun | A large road vehicle for carrying goods.
lottery | noun | A game of chance with prizes drawn by lot.
lozenge | noun | A small medicated sweet; a diamond shape.
lunacy | noun | Madness; extreme foolishness.
luncheon | noun | A formal midday meal.
lyceum | noun | A hall for public lectures and concerts.
macadam | noun | A road surface of crushed stone bound with tar.
magistrate | noun | A civil officer who hears minor cases.
malingerer | noun | A person who feigns illness to avoid work.
manger | noun | A trough from which cattle and horses feed.
manifest | noun | A list of a ship's cargo or passengers.
manor | noun | A large country house with land.
mansion | noun | A large and imposing house.
mantilla | noun | A lace scarf worn over the head and shoulders.
manufacturer | noun | A person or firm that makes goods.
manuscript | noun | A handwritten or typed document before printing.
