pedestal | noun | The base on which a statue or column stands.
pedestrian | noun | A person going about on foot.
pediatrics | noun | The branch of medicine dealing with children.
pedigree | noun | A record of an animal's or family's descent.
penance | noun | An act done to show sorrow for wrongdoing.
penknife | noun | A small folding knife.
pennant | noun | A long tapering flag; a championship title.
peonage | noun | A system in which debtors are bound to work.
percussion | noun | The striking of one body against another; drums in music.
perfumery | noun | The making or selling of perfumes.
permit | noun | An official document allowing something.
persecution | noun | Sustained ill-treatment of a group.
petition | noun | A formal written request signed by many.
phalanx | noun | A close-packed body of troops or people.
physique | noun | The form and build of a person's body.
pianoforte | noun | The full name of the piano.
pickaxe | noun | A tool with a pointed iron head for breaking ground.
picketing | noun | The posting of strikers outside a workplace.
pictograph | noun | A picture standing for a word or idea.
pier | noun | A structure built out over water.
pigment | noun | A substance giving colour to paint or tissue.
pillbox | noun | A small box for pills; a small concrete fort.
platoon | noun | A body of soldiers within a company.
playbill | noun | A poster or programme advertising a play.
plebeian | noun | A commoner, as opposed to an aristocrat.
plectrum | noun | A small piece used to pluck strings.
plowman | noun | A man who guides a plough.
plumage | noun | A bird's feathers taken together.
poacher | noun | A person who takes game or fish illegally.
poison | noun | A substance that harms or kills when taken in.
policeman | noun | A male police officer.
politician | noun | A person active in party politics or holding office.
polygamy | noun | The practice of having more than one spouse.
pontoon | noun | A flat-bottomed boat supporting a temporary bridge.
populace | noun | The ordinary people of a place.
portico | noun | A roof supported by columns at the entrance of a building.
portmanteau | noun | A large travelling case; a word blending two others.
portrait | noun | A painting or photograph of a person.
postage | noun | The charge for sending something by post.
postmaster | noun | The person in charge of a post office.
postmortem | noun | An examination of a body after death; a review after an event.
potash | noun | A potassium compound used in fertilizer and soap.
pottery | noun | Vessels made of fired clay, or the place they are made.
poultry | noun | Birds kept for eggs and meat.
preacher | noun | A person who delivers sermons.
precinct | noun | A district of a city; an enclosed area.
predecessor | noun | The person who held a post before another.
preface | noun | An introduction at the start of a book.
prefect | noun | A senior official; a pupil with authority over others.
prelate | noun | A bishop or other high-ranking clergyman.
premiere | noun | The first public performance of a work.
prescription | noun | A doctor's written order for medicine.
preservation | noun | The keeping of something in its original state.
presidency | noun | The office or term of a president.
prestige | noun | Respect and standing earned by achievement.
priesthood | noun | The office of a priest; priests as a body.
proclamation | noun | A public official announcement.
projectile | noun | An object fired or thrown through the air.
promenade | noun | A paved walk along a seafront; a leisurely walk.
proprietor | noun | The owner of a business.
prosecution | noun | The bringing of a criminal charge in court.
prospectus | noun | A printed statement describing a school or investment.
province | noun | A large administrative division of a country.
prudence | noun | Careful good judgement.
publican | noun | The keeper of a public house; a tax collector in ancient times.
publisher | noun | A person or firm that issues books or papers.
pulpit | noun | A raised platform from which sermons are preached.
punchbowl | noun | A large bowl for serving mixed drinks.
puppetry | noun | The art of performing with puppets.
purveyor | noun | A supplier of goods, especially food.
pushcart | noun | A small cart pushed by hand, used by street sellers.
putty | noun | A soft paste used to fix glass in frames.
pyre | noun | A heap of wood for burning a body.
quackery | noun | The practices of a person pretending medical skill.
quadrant | noun | A quarter of a circle; an instrument for measuring angles.
quarrel | noun | An angry dispute.
quilting | noun | The sewing of padded layers into a cover.
quinsy | noun | An abscess in the throat beside a tonsil.
quorum | noun | The least number of members needed for a valid meeting.
quota | noun | A fixed share or limit.
