sepulchre | noun | A tomb cut in rock or built of stone.
sergeant | noun | A non-commissioned officer; a police rank.
serpentine | adjective | Winding like a snake.
servitude | noun | The state of being a slave or bound servant.
settlement | noun | A place newly settled; an agreement ending a dispute.
sewage | noun | Waste water and matter carried in drains.
shackles | noun | Iron rings joined by a chain to bind a prisoner.
sharecropper | noun | A tenant farmer who pays rent with part of the crop.
shawl | noun | A cloth worn over the shoulders.
shearing | noun | The cutting of wool from sheep.
shingle | noun | A thin tile for roofing; coarse beach pebbles.
shipbuilder | noun | A person or firm that constructs ships.
shirtwaist | noun | A woman's blouse tailored like a shirt.
shrubbery | noun | An area planted with shrubs.
shutter | noun | A hinged cover for a window; the part of a camera that opens.
sickle | noun | A short-handled tool with a curved blade.
sidewalk | noun | A paved path beside a road for walking.
siding | noun | A short railway track off the main line; outside wall boards.
signalman | noun | A railway worker who operates signals.
signpost | noun | A post showing directions and distances.
silhouette | noun | A dark outline seen against a light background.
sisterhood | noun | A community of women, especially a religious one.
skiff | noun | A small light boat.
skittles | noun | A game of knocking down wooden pins with a ball.
slaughterhouse | noun | A building where animals are killed for meat.
slavery | noun | The holding of people as property.
sledge | noun | A vehicle on runners for travelling over snow.
slipper | noun | A soft shoe worn indoors.
sloop | noun | A small sailing boat with one mast.
slum | noun | A crowded, run-down district of a city.
smithy | noun | A blacksmith's workshop.
snuff | noun | Powdered tobacco taken by sniffing.
soapbox | noun | A box stood on to make a public speech.
sofa | noun | A long upholstered seat for several people.
sojourn | noun | A temporary stay in a place.
songbook | noun | A collection of songs in print.
sovereign | noun | A supreme ruler; a former gold coin.
spade | noun | A tool with a flat blade for digging.
spanner | noun | A tool for gripping and turning nuts.
spectator | noun | A person watching an event.
spelling | noun | The writing of words with their correct letters.
spice | noun | An aromatic substance used to flavour food.
spinney | noun | A small wood with undergrowth.
spire | noun | A tall pointed structure on a church tower.
splendor | noun | Magnificent and impressive beauty.
sportsman | noun | A man who takes part in sport, especially fairly.
springhouse | noun | A small building over a spring, used to keep food cool.
squadron | noun | A unit of warships, aircraft or cavalry.
stallholder | noun | A person who runs a market stall.
stamina | noun | The strength to keep going over time.
stationmaster | noun | The official in charge of a railway station.
statuary | noun | Statues considered together.
stature | noun | A person's height; standing gained by achievement.
statute | noun | A written law passed by a legislature.
steelworks | noun | A factory where steel is made.
steeple | noun | A church tower with a spire.
stevedore | noun | A person who loads and unloads ships.
steward | noun | A person who looks after property or passengers.
stipend | noun | A fixed regular payment, often to a clergyman.
stonecutter | noun | A worker who cuts and shapes stone.
storekeeper | noun | A person who keeps a shop or stores.
storeroom | noun | A room used for keeping supplies.
strait | noun | A narrow channel joining two seas.
stratagem | noun | A trick or plan to outwit an opponent.
straw | noun | The dried stalks of grain; a tube for drinking.
stretcher | noun | A frame for carrying an injured person.
strongbox | noun | A sturdy box for valuables.
stronghold | noun | A fortified place; a centre of support.
stucco | noun | Plaster used to coat and decorate walls.
studio | noun | A room where an artist works or recordings are made.
sublease | noun | A lease granted by a tenant to another tenant.
submersible | noun | A small craft that operates underwater.
subscription | noun | A payment made regularly to receive something.
subsidy | noun | Money granted to support an industry or price.
subsistence | noun | The barest means of keeping alive.
sugarcane | noun | A tall grass from which sugar is made.
sulfur | noun | A yellow chemical element that burns with a blue flame.
sultan | noun | A Muslim sovereign.
summons | noun | An order to appear before a court.
sundial | noun | A device telling the time by the shadow of a pointer.
superintendent | noun | A person in overall charge of a place or work.
surcoat | noun | A loose robe worn over armour.
surety | noun | A person who takes responsibility for another's debt.
switchman | noun | A railway worker who moves points.
swordsman | noun | A man skilled in fighting with a sword.
syndicate | noun | A group combining to run a business or venture.
synagogue | noun | A building where Jews meet for worship.
syringe | noun | A tube with a plunger for injecting or drawing liquid.
syrup | noun | A thick sweet liquid.
tabernacle | noun | A place of worship; a container for consecrated bread.
tableware | noun | Dishes, glasses and cutlery for a meal.
tackle | noun | Equipment for a task; ropes and pulleys; a move in football.
tailor | noun | A person who makes fitted clothes.
tankard | noun | A tall one-handled drinking mug.
tannin | noun | A bitter substance in tea and bark used in tanning.
tapestry | noun | Heavy cloth with pictures woven into it.
teakettle | noun | A kettle for boiling water for tea.
teamster | noun | A driver of a team of animals or a lorry.
technician | noun | A person skilled in the practical side of a craft or science.
telegrapher | noun | A person who sends messages by telegraph.
telephony | noun | The sending of speech over distance by wire or radio.
tempest | noun | A violent storm.
tenancy | noun | The holding of property as a tenant.
tenor | noun | The highest ordinary adult male voice; the general sense.
