# Everyday words most people know, added in bulk so rounds draw on familiar language.
able | adjective | Having the power or skill to do something.
abuse | noun | Cruel treatment; wrong or excessive use.
abyss | noun | A deep or seemingly bottomless chasm.
ache | noun | A dull continuous pain.
acid | noun | A sour substance that reacts with metals and bases.
act | noun | A thing done; a section of a play.
actor | noun | A person who performs in plays or films.
acute | adjective | Sharp or severe; keenly perceptive.
adapt | verb | To change something to suit new conditions.
add | verb | To join one thing to another; to find a total.
admit | verb | To confess to something; to allow entry.
adult | noun | A fully grown person.
agent | noun | A person acting on behalf of another.
agree | verb | To hold the same opinion; to consent.
aim | noun | A purpose or intention; the pointing of a weapon.
alarm | noun | A warning of danger, or a device that gives one.
alert | adjective | Quick to notice and respond.
alien | noun | A foreigner; a being from another world.
alive | adjective | Living, not dead.
allow | verb | To permit something to happen.
ally | noun | A country or person joined with another for support.
alone | adjective | Without other people.
aloud | adverb | Out loud, so as to be heard.
aluminium | noun | A light silvery metal used in foil and aircraft.
amuse | verb | To entertain or make someone smile.
anagram | noun | A word made by rearranging the letters of another.
angel | noun | A spiritual being pictured with wings; a very kind person.
anger | noun | Strong displeasure at a wrong.
angle | noun | The space between two meeting lines; a point of view.
angry | adjective | Feeling or showing anger.
ankle | noun | The joint between the foot and the leg.
annoy | verb | To irritate someone slightly.
ant | noun | A small social insect that lives in colonies.
apple | noun | A round firm fruit with crisp flesh.
arch | noun | A curved structure spanning an opening.
area | noun | An extent of surface; a region.
argue | verb | To exchange opposing views, often heatedly.
arm | noun | The upper limb of the body; a weapon.
armor | noun | A protective covering worn in battle.
army | noun | A country's land fighting force.
array | noun | An ordered arrangement of things.
arrow | noun | A pointed shaft shot from a bow.
art | noun | Creative work such as painting and sculpture.
ash | noun | The powder left after burning; a hardwood tree.
ask | verb | To put a question, or to make a request.
aunt | noun | The sister of one's parent.
auto | noun | A motor car.
avoid | verb | To keep away from something.
awake | adjective | Not asleep.
award | noun | A prize given for merit.
aware | adjective | Knowing that something exists.
awful | adjective | Very bad or unpleasant.
axis | noun | A line about which a body turns.
axle | noun | The rod on which a pair of wheels turns.
baby | noun | A very young child.
back | noun | The rear part of the body or of anything.
badge | noun | A small emblem worn to show membership or rank.
bag | noun | A flexible container with an opening at the top.
bait | noun | Food put on a hook to attract fish or animals.
bake | verb | To cook food by dry heat in an oven.
ball | noun | A round object used in games.
ban | noun | An official order forbidding something.
band | noun | A group of musicians; a strip of material.
bang | noun | A sudden loud noise; a sharp blow.
bank | noun | A place that keeps money; the side of a river.
bar | noun | A long rigid piece; a counter serving drinks.
bare | adjective | Uncovered or empty.
bark | noun | The outer covering of a tree; a dog's sharp cry.
barn | noun | A large farm building for crops and animals.
base | noun | The lowest part; a headquarters.
basic | adjective | Forming the simplest and most necessary part.
basin | noun | A bowl for washing; a region drained by a river.
basis | noun | The foundation on which something rests.
bass | noun | The lowest musical range; a freshwater fish.
bat | noun | A club used to hit a ball; a flying mammal.
bath | noun | A large tub for washing the body.
beach | noun | A shore of sand or pebbles.
bead | noun | A small pierced ball strung with others.
beak | noun | The hard projecting mouth of a bird.
beam | noun | A long piece of timber; a ray of light.
bean | noun | An edible seed growing in pods.
bear | noun | A large heavy mammal with thick fur.
beard | noun | Hair grown on a man's chin.
beast | noun | A large or dangerous animal.
beat | verb | To strike repeatedly; to defeat.
bed | noun | A piece of furniture for sleeping on.
beef | noun | The meat of cattle.
beer | noun | An alcoholic drink brewed from malt and hops.
bell | noun | A hollow metal cup that rings when struck.
belt | noun | A strap worn round the waist; a driving band.
bench | noun | A long seat; a worktable.
bend | verb | To force into a curve.
berry | noun | A small round juicy fruit.
best | adjective | Of the highest quality.
bet | noun | A wager on an uncertain outcome.
bible | noun | The Christian scriptures; an authoritative book.
bike | noun | A bicycle or motorcycle.
bill | noun | A statement of charges; a draft law; a bird's beak.
bird | noun | A feathered animal that lays eggs.
birth | noun | The emergence of a baby into the world.
bit | noun | A small piece; a unit of computer data.
bite | verb | To cut into something with the teeth.
black | adjective | Of the darkest colour, like coal.
blade | noun | The cutting edge of a knife; a leaf of grass.
blame | noun | Responsibility for a fault.
blank | adjective | Bearing no writing or marks.
blast | noun | A sudden violent gust or explosion.
blaze | noun | A bright fierce fire.
bleed | verb | To lose blood.
blend | verb | To mix things smoothly together.
blind | adjective | Unable to see.
block | noun | A solid piece of material; an obstruction.
blood | noun | The red liquid pumped around the body.
bloom | noun | A flower, or the state of flowering.
blow | verb | To send out a current of air.
blue | adjective | Of the colour of a clear sky.
blunt | adjective | Not sharp; plain-spoken.
