cub | noun | The young of a bear, fox or lion.
cube | noun | A solid with six equal square faces.
cup | noun | A small bowl with a handle for drinking.
curb | verb | To hold something in check.
cure | noun | A remedy that restores health.
curl | noun | A ringlet of hair; a curved shape.
curve | noun | A line that bends smoothly.
cut | verb | To divide or wound with a sharp edge.
cute | adjective | Charmingly pretty.
cycle | noun | A series that repeats; a bicycle.
dad | noun | An informal word for father.
daily | adjective | Happening every day.
dairy | noun | A place where milk is processed.
damp | adjective | Slightly wet.
dance | noun | A series of steps performed to music.
dare | verb | To have the courage to do something.
dark | adjective | With little or no light.
dart | noun | A small pointed missile thrown at a board.
dash | verb | To run in a hurry; to throw violently.
data | noun | Facts and figures collected for study.
date | noun | A day of the month; an appointment; a sweet fruit.
dawn | noun | The first light of day.
day | noun | The period of twenty-four hours, or its light part.
dead | adjective | No longer alive.
deaf | adjective | Unable to hear.
deal | noun | An agreement; the distribution of cards.
dear | adjective | Much loved; expensive.
death | noun | The end of life.
debt | noun | Money owed to someone.
decay | noun | The rotting or decline of something.
deck | noun | A floor of a ship; a pack of cards.
deep | adjective | Going far down from the surface.
deer | noun | A hoofed woodland animal, the male often antlered.
dense | adjective | Closely packed; slow to understand.
dent | noun | A hollow made by a blow.
deny | verb | To say that something is not true.
depth | noun | The distance from the top down.
desk | noun | A table for writing or working at.
devil | noun | An evil spirit; the supreme spirit of evil.
dial | noun | A face marked with numbers for reading a measure.
diet | noun | The food a person usually eats; a slimming regime.
dirt | noun | Earth or grime.
dirty | adjective | Covered with dirt; unfair or indecent.
dish | noun | A shallow container for food; a prepared meal.
disk | noun | A flat round object; a store of computer data.
ditch | noun | A narrow channel dug to carry water.
dive | verb | To plunge head first into water.
dock | noun | An enclosed area of water where ships are loaded.
dog | noun | A domesticated animal kept as a pet or worker.
doll | noun | A child's toy in the shape of a person.
dome | noun | A rounded roof.
door | noun | A hinged barrier at the entrance to a room.
dot | noun | A small round mark.
doubt | noun | A feeling of uncertainty.
dozen | noun | A group of twelve.
draft | noun | A first version; a current of cold air.
drag | verb | To pull something along with effort.
drain | noun | A pipe or channel carrying away water.
drama | noun | A play; an exciting or tense situation.
draw | verb | To make a picture with lines; to pull.
dread | noun | Great fear of what is coming.
dream | noun | Images passing through the mind in sleep; a cherished hope.
dress | noun | A woman's garment of bodice and skirt.
drift | verb | To be carried along by a current.
drill | noun | A tool for boring holes; repeated training.
drink | verb | To swallow liquid.
drip | verb | To fall in drops.
drive | verb | To operate a vehicle; to force along.
drop | verb | To let something fall.
drown | verb | To die by being unable to breathe under water.
drug | noun | A medicine, or a substance taken for its effect.
drum | noun | A hollow instrument struck to make a beat.
drunk | adjective | Overcome by alcohol.
duck | noun | A waterbird with a broad bill.
duct | noun | A tube carrying air or fluid.
duet | noun | A piece of music for two performers.
dull | adjective | Not bright or interesting.
dumb | adjective | Unable to speak; foolish.
dump | verb | To put down carelessly or get rid of.
dusk | noun | The darker part of twilight.
dust | noun | Fine dry powder of earth or matter.
duty | noun | A task one is bound to do; a tax on goods.
eager | adjective | Keen and enthusiastic.
eagle | noun | A large bird of prey with keen sight.
ear | noun | The organ of hearing.
early | adjective | Before the usual or expected time.
earn | verb | To get money in return for work.
earth | noun | The planet we live on; soil.
ease | noun | Freedom from difficulty or worry.
east | noun | The direction in which the sun rises.
easy | adjective | Needing little effort.
eat | verb | To take food into the mouth and swallow.
echo | noun | A sound reflected back to the hearer.
edge | noun | The outer limit of a surface; a sharpened side.
edit | verb | To prepare text by correcting and shaping it.
egg | noun | An oval object laid by a bird, containing a young one.
elder | noun | An older person; a small tree with berries.
elm | noun | A tall deciduous tree with rough leaves.
empty | adjective | Containing nothing.
end | noun | The final part; the extremity of something.
enemy | noun | A person or country hostile to another.
enjoy | verb | To take pleasure in something.
enter | verb | To go into a place; to record in a list.
entry | noun | The act of going in; an item in a list.
envy | noun | Resentment at another's good fortune.
equal | adjective | The same in amount or value.
equip | verb | To supply with what is needed.
erase | verb | To rub out or delete.
error | noun | A mistake.
essay | noun | A short piece of writing on a subject.
event | noun | Something that happens, especially of importance.
evil | adjective | Deeply wicked.
exact | adjective | Correct in every detail.
exist | verb | To be real or present.
exit | noun | A way out.
extra | adjective | More than is usual or expected.
eye | noun | The organ of sight.
face | noun | The front of the head; a surface.
fact | noun | Something known to be true.
fade | verb | To lose colour or strength gradually.
fail | verb | To be unsuccessful.
faint | adjective | Barely perceptible; weak and dizzy.
fair | adjective | Just and free from bias; light in colour.
faith | noun | Strong belief, especially religious.
fall | verb | To drop down under gravity.
false | adjective | Not true; artificial.
fame | noun | The state of being widely known.
fan | noun | A device that moves air; a keen supporter.
fancy | verb | To have a liking for; to imagine.
fare | noun | The money paid for a journey.
farm | noun | Land used for growing crops or keeping animals.
fast | adjective | Moving quickly; firmly fixed.
fatal | adjective | Causing death.
fate | noun | The power thought to decide events; a person's destiny.
fault | noun | A defect; responsibility for a mistake.
favor | noun | An act of kindness; approval.
fear | noun | An unpleasant feeling caused by danger.
feed | verb | To give food to.
feel | verb | To be aware of by touch or emotion.
fence | noun | A barrier of posts and wire or wood.
fetch | verb | To go for and bring back.
field | noun | An area of open land; a branch of study.
fifth | adjective | Next after the fourth.
fifty | noun | The number after forty-nine.
fight | noun | A violent struggle between opponents.
file | noun | A folder for papers; a tool for smoothing; a line of people.
fill | verb | To make something full.
film | noun | A thin layer; a motion picture.
fin | noun | A thin projecting part of a fish used to steer.
final | adjective | Coming at the end.
find | verb | To discover something by chance or search.
fine | adjective | Of high quality; thin or delicate.
fire | noun | Burning with flame, heat and light.
firm | adjective | Solid and steady; a business.
first | adjective | Coming before all others.
fish | noun | A cold-blooded animal living in water.
fist | noun | A tightly closed hand.
fit | adjective | In good health; suitable.
five | noun | The number after four.
flag | noun | A piece of cloth used as a symbol or signal.
flame | noun | A tongue of burning gas.
flap | verb | To move up and down, as wings.
flash | noun | A sudden brief burst of light.
flat | adjective | Level and smooth; a set of rooms.
fleet | noun | A group of ships or vehicles under one command.
flesh | noun | The soft substance between skin and bone.
flint | noun | A hard stone that makes sparks when struck.
float | verb | To rest on the surface of a liquid.
flock | noun | A group of sheep or birds.
flood | noun | An overflow of water onto dry land.
