foam | noun | A mass of small bubbles on a liquid.
focus | noun | The point of sharpest clarity; the centre of attention.
foggy | adjective | Full of fog; unclear.
foil | noun | Very thin metal sheet; a light fencing sword.
fold | verb | To bend something over on itself.
folk | noun | People in general; the traditions of ordinary people.
fond | adjective | Having a liking for.
food | noun | Substances taken in to keep a body alive.
fool | noun | A person who acts unwisely.
foot | noun | The part of the leg below the ankle; twelve inches.
force | noun | Strength or violence; an organized body of troops.
fork | noun | An eating tool with prongs; a place where a road divides.
form | noun | The shape of something; a printed document to fill in.
fort | noun | A fortified building held by troops.
forty | noun | The number after thirty-nine.
foul | adjective | Offensive to the senses; unfair.
four | noun | The number after three.
fox | noun | A wild animal of the dog family with a bushy tail.
frail | adjective | Weak and easily broken.
frame | noun | A rigid structure enclosing or supporting something.
free | adjective | Not under control; costing nothing.
fresh | adjective | Newly made or gathered.
frog | noun | A jumping amphibian with smooth skin.
front | noun | The side that faces forward.
frost | noun | A thin white covering of ice crystals.
frown | verb | To wrinkle the brow in displeasure.
fruit | noun | The seed-bearing part of a plant, often sweet.
fry | verb | To cook in hot fat.
fuel | noun | Material burned to give heat or power.
full | adjective | Holding as much as possible.
fume | noun | Pungent smoke or vapour.
fund | noun | A sum of money set aside for a purpose.
funny | adjective | Causing laughter; strange.
fur | noun | The soft hair covering an animal.
fury | noun | Wild anger.
gain | verb | To get or increase something.
gale | noun | A very strong wind.
game | noun | An activity played for amusement or competition.
gang | noun | An organized group, often of criminals.
gas | noun | An airlike substance; petrol.
gate | noun | A hinged barrier in a wall or fence.
gauge | noun | An instrument that measures; a standard width.
gaze | verb | To look steadily at something.
gear | noun | A toothed wheel; equipment for an activity.
gent | noun | An informal word for a gentleman.
genus | noun | A group of related species in classification.
ghost | noun | The spirit of a dead person said to appear.
giant | noun | A being of enormous size.
gift | noun | Something given freely; a natural talent.
girl | noun | A female child.
give | verb | To hand something over freely.
glad | adjective | Pleased and happy.
glare | noun | A fierce light; an angry stare.
glass | noun | A hard transparent material; a drinking vessel.
glide | verb | To move smoothly without effort.
globe | noun | A sphere; a model of the earth.
glory | noun | Great honour and renown; magnificent beauty.
glove | noun | A covering for the hand with separate fingers.
glow | noun | A steady light without flame.
glue | noun | A substance used to stick things together.
goal | noun | An aim; the target scored in football.
goat | noun | A hardy horned animal kept for milk and meat.
god | noun | A being worshipped as having power over nature.
gold | noun | A precious yellow metal.
good | adjective | Of a high standard; morally right.
goose | noun | A large waterbird with a long neck.
grab | verb | To seize suddenly.
grace | noun | Elegance of movement; divine favour.
grade | noun | A level of quality or rank; a mark for work.
grain | noun | The seed of a cereal; a tiny hard particle.
grand | adjective | Impressive in size or dignity.
graph | noun | A diagram showing how quantities relate.
grasp | verb | To take firm hold; to understand.
grass | noun | A low green plant covering lawns and fields.
grave | noun | A hole dug for a body; serious in manner.
gray | adjective | Of the colour between black and white.
graze | verb | To feed on growing grass; to scrape the skin.
great | adjective | Of unusual size, importance or ability.
greed | noun | Excessive desire for food, money or power.
green | adjective | Of the colour of growing grass.
grid | noun | A network of crossing lines or wires.
grim | adjective | Stern and forbidding; unpleasant.
grin | noun | A broad smile.
grind | verb | To crush into powder between hard surfaces.
grip | verb | To hold tightly.
group | noun | A number of people or things together.
grove | noun | A small wood or group of trees.
grow | verb | To increase in size; to cultivate.
growl | noun | A low threatening sound made by an animal.
guard | noun | A person who watches over something.
guess | verb | To give an answer without being sure.
guest | noun | A person invited to visit or stay.
guide | noun | A person who shows the way; a handbook.
