mice | noun | More than one mouse.
mild | adjective | Gentle; not severe or strongly flavoured.
mile | noun | A unit of distance of 1760 yards.
milk | noun | The white liquid produced by female mammals.
milky | adjective | Containing milk; cloudy white.
mind | noun | The seat of thought and awareness.
mine | noun | An excavation for coal or ore; an explosive charge.
minor | adjective | Lesser in importance; a person under age.
minus | preposition | Reduced by; less.
miss | verb | To fail to hit or catch; to feel the absence of.
mist | noun | A thin fog.
mix | verb | To combine things into one mass.
moan | noun | A long low sound of pain or complaint.
mob | noun | A disorderly crowd.
mode | noun | A way in which something is done.
model | noun | A small copy; a person who displays clothes.
moist | adjective | Slightly wet.
mold | noun | A hollow form for shaping; a furry fungus.
money | noun | Coins and notes used to buy things.
month | noun | One of the twelve divisions of a year.
mood | noun | A state of mind or feeling.
moon | noun | The body that orbits the earth and lights the night.
moral | adjective | Concerning right and wrong behaviour.
moss | noun | A small flowerless plant forming green mats.
mound | noun | A raised mass of earth.
mount | verb | To climb up or get on; to set in place.
mouth | noun | The opening through which food is taken in.
move | verb | To go from one place to another.
movie | noun | A film shown in a cinema.
muddy | adjective | Covered in wet earth.
music | noun | Sound arranged in rhythm and melody.
myth | noun | A traditional story; a widely held false belief.
nail | noun | A thin metal spike; the hard covering on a fingertip.
naked | adjective | Without clothes or covering.
name | noun | The word by which a person or thing is known.
nasty | adjective | Unpleasant or spiteful.
naval | adjective | Belonging to a navy.
navy | noun | A country's fighting ships and their crews.
neat | adjective | Tidy and in order; undiluted.
neck | noun | The part joining the head to the body.
need | verb | To require something essential.
nerve | noun | A fibre carrying signals in the body; courage.
nest | noun | A structure in which a bird lays eggs.
net | noun | An openwork fabric of knotted cord.
new | adjective | Recently made or discovered.
nice | adjective | Pleasant or agreeable.
night | noun | The dark hours between sunset and sunrise.
nine | noun | The number after eight.
ninth | adjective | Next after the eighth.
noble | adjective | Of high birth; having fine moral qualities.
noise | noun | A sound, especially a loud or unwanted one.
noisy | adjective | Making a lot of noise.
noon | noun | Twelve o'clock in the day.
north | noun | The direction to the left of someone facing the sunrise.
nose | noun | The part of the face used for smelling and breathing.
note | noun | A short written record; a musical sound.
noun | noun | A word naming a person, place or thing.
novel | noun | A long fictional story in prose.
nut | noun | A hard-shelled fruit; a metal piece screwed onto a bolt.
oak | noun | A large hardwood tree bearing acorns.
oar | noun | A pole with a flat blade used for rowing.
oat | noun | A cereal grain used for porridge and animal feed.
obese | adjective | Very fat, to a degree that harms health.
obey | verb | To do what one is told.
ocean | noun | A very large expanse of sea.
odor | noun | A smell, especially an unpleasant one.
offer | verb | To present something for acceptance.
oil | noun | A slippery liquid used as fuel or in cooking.
olive | noun | A small bitter fruit pressed for oil.
omit | verb | To leave out.
onion | noun | A strong-flavoured bulb used in cooking.
open | adjective | Not closed or blocked.
opera | noun | A drama set to music and sung.
oral | adjective | Spoken rather than written; of the mouth.
orbit | noun | The curved path of a body around another in space.
order | noun | A command; an arrangement; a request for goods.
organ | noun | A part of the body with a special function; a keyboard instrument.
ounce | noun | A unit of weight, a sixteenth of a pound.
oval | adjective | Shaped like an egg.
oven | noun | An enclosed chamber for baking.
owl | noun | A night bird of prey with large eyes.
own | verb | To have as property.
owner | noun | A person who owns something.
pace | noun | A single step; the speed of movement.
pack | noun | A bundle carried on the back; a set of cards.
page | noun | One side of a sheet in a book.
pail | noun | A bucket.
pain | noun | An unpleasant feeling caused by injury.
paint | noun | Coloured liquid spread on a surface to decorate it.
pair | noun | A set of two matching things.
pale | adjective | Light in colour; lacking healthy colour.
palm | noun | The inner surface of the hand; a tropical tree.
pan | noun | A shallow metal container for cooking.
panel | noun | A flat section of a surface; a group chosen to discuss.
pant | verb | To breathe quickly in short gasps.
paper | noun | Material made in sheets for writing on.
park | noun | A public area of grass and trees.
part | noun | A piece of a whole; a role in a play.
party | noun | A social gathering; a political group.
pass | verb | To go by; to succeed in a test.
paste | noun | A thick soft mixture used to stick or spread.
patch | noun | A piece of cloth sewn over a hole; a small area.
path | noun | A way made for walking.
pause | noun | A short break in action.
paw | noun | The foot of an animal with claws.
pay | verb | To give money for goods or work.
pea | noun | A small round green seed eaten as a vegetable.
peace | noun | Freedom from war or disturbance.
peach | noun | A soft round fruit with downy skin and a stone.
peak | noun | The pointed top of a mountain; the highest level.
pear | noun | A sweet fruit narrow at the stalk and wide at the base.
pedal | noun | A lever pressed with the foot.
peel | verb | To remove the skin from a fruit or vegetable.
peg | noun | A short pin used to fasten or hang things.
pen | noun | An instrument for writing with ink; an animal enclosure.
penny | noun | A coin of low value.
perch | noun | A bar for a bird to rest on; a freshwater fish.
pet | noun | An animal kept for company.
pew | noun | A long bench in a church.
phase | noun | A distinct stage in a process.
phone | noun | A device for speaking to someone at a distance.
photo | noun | A picture made with a camera.
piano | noun | A keyboard instrument with hammered strings.
pick | verb | To choose; to gather fruit or flowers.
piece | noun | A part of something; a single item.
pig | noun | A farm animal kept for its meat.
pile | noun | A heap of things one on another.
pill | noun | A small tablet of medicine.
pilot | noun | A person who flies an aircraft or guides a ship.
pin | noun | A thin pointed piece of metal for fastening.
pinch | verb | To squeeze between finger and thumb.
pine | noun | An evergreen tree with needles and cones.
pink | adjective | Of a pale red colour.
pint | noun | A measure of liquid, an eighth of a gallon.
pit | noun | A large hole in the ground; a mine.
pitch | noun | The highness of a sound; a sports field; dark tar.
pity | noun | Sorrow for the suffering of others.
pivot | noun | The point on which something turns.
place | noun | A particular position or area.
plain | adjective | Simple and without decoration; easy to understand.
plan | noun | An intention worked out in advance; a drawing of a layout.
plane | noun | An aircraft; a flat surface; a tool for smoothing wood.
plank | noun | A long flat piece of timber.
plant | noun | A living thing that grows in soil; a factory.
plate | noun | A flat dish for food; a thin sheet of metal.
play | verb | To take part in a game; a drama for the stage.
plot | noun | The story of a book or play; a secret plan; a piece of ground.
plow | noun | A farm implement for turning soil.
pluck | verb | To pull out sharply; to pick strings.
plug | noun | A stopper for a hole; a fitting joining a cable to a socket.
plum | noun | A soft round fruit with a stone.
