sick | adjective | Unwell; feeling the urge to vomit.
side | noun | A surface or edge bounding something; one of two opposing groups.
sigh | noun | A long deep breath expressing feeling.
sight | noun | The ability to see; something worth seeing.
sign | noun | A board giving information; an indication.
silicon | noun | The element used to make computer chips.
silk | noun | A fine soft cloth made by silkworms.
silly | adjective | Foolish or lacking sense.
sing | verb | To make musical sounds with the voice.
sink | verb | To go down below a surface; a basin with a drain.
site | noun | A place where something is located or built.
six | noun | The number after five.
sixth | adjective | Next after the fifth.
sixty | noun | The number after fifty-nine.
size | noun | How large or small something is.
skate | verb | To glide on ice or wheels.
skid | verb | To slide sideways out of control.
skill | noun | The ability to do something well.
skin | noun | The outer covering of a body.
skip | verb | To move with light hops; to leave out.
skull | noun | The bony frame of the head.
sky | noun | The space above the earth seen from the ground.
slap | verb | To strike with the open hand.
slave | noun | A person owned by another and forced to work.
sled | noun | A vehicle on runners for travelling on snow.
sleek | adjective | Smooth and glossy.
sleep | verb | To rest with the eyes closed and mind unconscious.
sleuth | noun | A detective.
slice | noun | A thin flat piece cut from something.
slim | adjective | Gracefully thin; small in amount.
slip | verb | To slide accidentally; a small piece of paper.
slit | noun | A long narrow cut or opening.
slope | noun | A surface with one end higher than the other.
slot | noun | A narrow opening for inserting something.
slow | adjective | Moving or acting without speed.
small | adjective | Little in size or amount.
smart | adjective | Clever; neat and stylish.
smash | verb | To break violently into pieces.
smell | noun | The quality perceived by the nose.
smile | noun | A pleased expression with upturned mouth.
smoke | noun | The grey cloud given off by burning.
snack | noun | A small quick meal.
snake | noun | A long legless reptile.
snap | verb | To break suddenly with a sharp sound.
sneak | verb | To move quietly and secretly.
snow | noun | Frozen water falling as soft white flakes.
snowy | adjective | Covered with snow.
soak | verb | To make thoroughly wet.
sob | verb | To weep with gasping breaths.
sock | noun | A knitted covering for the foot.
soda | noun | A fizzy drink; a compound of sodium.
soft | adjective | Yielding to touch; not loud.
soil | noun | The top layer of earth in which plants grow.
sole | noun | The underside of a foot or shoe; a flat fish.
solid | adjective | Firm and stable in shape.
solo | noun | A performance by one person alone.
solve | verb | To find the answer to a problem.
son | noun | A male child in relation to his parents.
song | noun | A short piece of music with words.
soon | adverb | In a short time from now.
soot | noun | Black powder left by smoke.
sore | adjective | Painful when touched.
sorry | adjective | Feeling regret or sympathy.
sort | noun | A kind or type; to arrange in order.
soul | noun | The spiritual part of a person.
sound | noun | Vibrations heard by the ear; in good condition.
soup | noun | A liquid food made by boiling ingredients.
sour | adjective | Having a sharp acid taste.
south | noun | The direction opposite north.
space | noun | An empty area; the region beyond the atmosphere.
span | noun | The full extent from end to end.
spare | adjective | Kept in reserve; thin.
spark | noun | A small fiery particle.
speak | verb | To say words aloud.
