cabinet | noun | A cupboard with shelves; the senior ministers of a government.
calculate | verb | To work out by arithmetic.
calendar | noun | A chart showing the days of the year.
campaign | noun | An organized effort towards a goal; a series of military operations.
cancel | verb | To call off something arranged.
candidate | noun | A person seeking a job or election.
capable | adjective | Having the ability to do something.
capacity | noun | The amount something can hold; ability.
capital | noun | The chief city of a country; wealth used in business.
capsule | noun | A small case of medicine; a spacecraft compartment.
captain | noun | The person in command of a ship, team or company.
capture | verb | To take prisoner or gain control of.
careful | adjective | Taking pains to avoid harm or error.
careless | adjective | Not paying enough attention.
carton | noun | A light cardboard box.
cartwheel | noun | A sideways handspring; the wheel of a cart.
castle | noun | A large fortified building of past centuries.
casual | adjective | Relaxed and informal; happening by chance.
catamaran | noun | A boat with two parallel hulls.
category | noun | A class of things sharing features.
cattle | noun | Cows and bulls kept as livestock.
caution | noun | Care taken to avoid danger.
ceiling | noun | The upper surface of a room.
central | adjective | In or near the middle; most important.
century | noun | A period of a hundred years.
cereal | noun | A grain crop; a breakfast food made from it.
ceremony | noun | A formal act performed on an important occasion.
certain | adjective | Sure beyond doubt.
chairman | noun | The person presiding over a meeting or board.
challenge | noun | A demanding task; an invitation to compete.
chamber | noun | A room, especially a private or official one.
champion | noun | The winner of a contest; a defender of a cause.
chance | noun | A possibility; luck.
change | verb | To make or become different.
channel | noun | A passage for water; a band for broadcasting.
chapter | noun | A main division of a book.
character | noun | A person's nature; a person in a story; a written symbol.
charge | noun | A price asked; an accusation; a quantity of electricity.
chatter | verb | To talk quickly about trivial things.
cheese | noun | A food made from pressed milk curds.
chemical | noun | A substance obtained by or used in chemistry.
chemist | noun | A person trained in chemistry; a pharmacist.
chemistry | noun | The science of substances and their reactions.
cherry | noun | A small round red fruit with a stone.
chicken | noun | A domestic fowl kept for eggs and meat.
childhood | noun | The time of being a child.
children | noun | More than one child.
chilly | adjective | Uncomfortably cool.
choice | noun | An act of choosing; a range to choose from.
choose | verb | To pick out from a number of options.
chorus | noun | A group of singers; the repeated part of a song.
chuck | verb | To throw carelessly; to give up.
chunk | noun | A thick solid piece.
church | noun | A building for Christian worship.
cinema | noun | A theatre showing films; the art of film.
circle | noun | A round plane figure; a group of people.
circuit | noun | A closed path for electricity; a route going round.
citizen | noun | A member of a country or city.
civilian | noun | A person not in the armed forces or police.
classic | adjective | Of lasting quality and standing.
classical | adjective | Of ancient Greece and Rome; of formal music.
classmate | noun | A fellow member of a class.
classroom | noun | A room where lessons are taught.
clever | adjective | Quick to learn and understand.
climate | noun | The usual weather of a region.
closet | noun | A cupboard or small storeroom.
cloudy | adjective | Covered with clouds; not clear.
cluster | noun | A group of similar things close together.
coarse | adjective | Rough in texture; rude.
coastal | adjective | Of or near the coast.
coastline | noun | The outline of a coast.
coconut | noun | The large hard-shelled nut of a palm.
coffee | noun | A hot drink made from roasted beans.
coffin | noun | A box in which a body is buried.
collar | noun | The part of a garment round the neck; a band for a dog.
collect | verb | To gather things together.
college | noun | A place of higher education.
colonel | noun | A senior army officer.
colonial | adjective | Of a colony or the period of colonies.
colony | noun | A territory ruled by another country; a group of settlers.
colorful | adjective | Full of bright colours; lively.
column | noun | An upright pillar; a vertical section of a page.
combine | verb | To join things into one.
comedy | noun | Entertainment intended to make people laugh.
comfort | noun | Physical ease; consolation in trouble.
command | noun | An order; authority over troops.
comment | noun | A remark expressing an opinion.
commerce | noun | The buying and selling of goods.
committee | noun | A group appointed to deal with a matter.
