ringworm | noun | A skin infection causing round itchy patches.
riverbank | noun | The land at the edge of a river.
roadblock | noun | A barrier set across a road; an obstacle to progress.
robber | noun | A person who steals by force.
routine | noun | A regular way of doing things.
rubber | noun | An elastic substance made from latex.
rubbish | noun | Waste material; nonsense.
rural | adjective | Of the countryside.
safety | noun | Freedom from danger.
salary | noun | A fixed regular payment for work.
sample | noun | A small part taken to show what the whole is like.
sandal | noun | A light shoe with straps.
sandstone | noun | A rock formed from compressed sand.
sandwich | noun | Two slices of bread with a filling.
sarcasm | noun | Mocking remarks meant to wound.
satisfy | verb | To meet a need or expectation.
savage | adjective | Fierce and violent; uncivilized.
scarce | adjective | In short supply.
scatter | verb | To throw in various directions.
scenery | noun | The natural features of a landscape; stage sets.
schedule | noun | A plan of times for events.
scheme | noun | A plan of action; a plot.
scholar | noun | A learned person; a pupil holding a scholarship.
school | noun | A place of education for children.
science | noun | The study of the physical world by observation and test.
scoreboard | noun | A board showing the score in a game.
scrape | verb | To rub with something sharp to clean or damage.
scream | noun | A loud piercing cry.
screen | noun | A surface for showing pictures; a partition.
script | noun | The written text of a play or film; handwriting.
search | verb | To look thoroughly for something.
seashell | noun | The shell of a sea creature.
seaside | noun | The coast, especially as a holiday place.
season | noun | One of the four divisions of the year; to add flavour.
seaweed | noun | Plants growing in the sea.
second | noun | A sixtieth of a minute; next after the first.
secret | noun | Something kept from others' knowledge.
section | noun | A part cut off or separated; a division.
secure | adjective | Safe and firmly fixed.
security | noun | Safety from danger; measures taken to ensure it.
seldom | adverb | Not often.
select | verb | To choose carefully.
selection | noun | The act of choosing; a range chosen.
selfish | adjective | Concerned only with one's own advantage.
senior | adjective | Older or of higher rank.
sensation | noun | A physical feeling; great excitement.
sensible | adjective | Showing good judgement.
sensitive | adjective | Quick to feel or respond; easily offended.
sentence | noun | A set of words making a statement; a court's punishment.
separate | verb | To divide; not joined together.
sequence | noun | A set of things following in order.
serious | adjective | Solemn; needing careful thought; severe.
serpent | noun | A large snake.
service | noun | Work done for others; a religious ceremony.
session | noun | A period given to an activity.
settle | verb | To make a home; to resolve; to come to rest.
seventeen | noun | The number after sixteen.
seventh | adjective | Next after the sixth.
seventy | noun | The number after sixty-nine.
several | adjective | More than two but not many.
severe | adjective | Very great and unpleasant; strict.
shadow | noun | A dark shape cast by something blocking light.
shaggy | adjective | Covered with long untidy hair.
shallow | adjective | Of little depth.
shelter | noun | A structure giving protection.
shield | noun | A broad piece of armour carried for protection.
shiver | verb | To tremble with cold or fear.
shore | noun | The land along the edge of a sea or lake.
shorten | verb | To make less long.
shrill | adjective | High-pitched and piercing.
shrink | verb | To become smaller.
shrub | noun | A woody plant smaller than a tree.
sickness | noun | The state of being ill.
signal | noun | A sign giving information or an order.
signature | noun | A person's name written by themselves.
silence | noun | Complete absence of sound.
silent | adjective | Making no sound.
silver | noun | A shiny white precious metal.
similar | adjective | Resembling but not identical.
simple | adjective | Easily done or understood; plain.
single | adjective | Only one; unmarried.
sister | noun | A female sibling.
situation | noun | The state of affairs at a time and place.
sixteen | noun | The number after fifteen.
sketch | noun | A rough drawing; a short comic scene.
skiing | noun | The sport of travelling on snow on skis.
skinny | adjective | Very thin.
sleeve | noun | The part of a garment covering the arm.
slender | adjective | Gracefully thin.
slight | adjective | Small in degree; slim and delicate.
slippery | adjective | Difficult to hold or stand on.
smooth | adjective | Having an even surface; free from difficulty.
social | adjective | Concerning society; enjoying company.
society | noun | People living together in a community; an organized group.
sodium | noun | A soft metal found in common salt.
soldier | noun | A person serving in an army.
solemn | adjective | Formal and dignified; serious.
solution | noun | The answer to a problem; a liquid mixture.
somebody | pronoun | Some person.
someday | adverb | At an unspecified time in the future.
somehow | adverb | In some way not known.
someone | pronoun | Some person.
something | pronoun | A thing not specified.
sometime | adverb | At some unspecified time.
somewhat | adverb | To a moderate extent.
somewhere | adverb | In or to some place.
sorrow | noun | Deep sadness.
source | noun | The place something comes from.
southeast | noun | The direction between south and east.
southern | adjective | Situated in or facing the south.
special | adjective | Better or different from what is usual.
specific | adjective | Clearly defined; of one particular thing.
spectrum | noun | The band of colours in light; a range of values.
speech | noun | The act of speaking; a formal talk.
sphere | noun | A perfectly round solid; an area of activity.
spider | noun | An eight-legged creature that spins webs.
spiral | noun | A curve winding round a centre.
spirit | noun | The non-physical part of a person; strong liquor; mood.
spiritual | adjective | Of the spirit rather than the body.
splash | verb | To scatter liquid about.
splendid | adjective | Magnificent; very good.
sponge | noun | A soft absorbent mass used for washing.
spread | verb | To open out; to extend over an area.
spring | noun | The season after winter; a coil; a source of water.
sprinkle | verb | To scatter small drops or particles.
square | noun | A four-sided figure with equal sides; an open public space.
squeak | noun | A short high-pitched sound.
squeeze | verb | To press firmly from opposite sides.
squint | verb | To look with partly closed eyes.
squirrel | noun | A bushy-tailed rodent that lives in trees.
stable | adjective | Firmly fixed; a building for horses.
staircase | noun | A flight of stairs and its supports.
standard | noun | A level of quality; a flag.
stardom | noun | The state of being a famous performer.
startle | verb | To surprise suddenly.
starve | verb | To suffer or die from lack of food.
statement | noun | A definite expression in speech or writing.
static | adjective | Not moving; electrical charge at rest.
station | noun | A stopping place for trains; a place of duty.
statue | noun | A carved or cast figure of a person or animal.
status | noun | Social or professional standing; current state.
steady | adjective | Firmly fixed; regular and even.
stillness | noun | The absence of movement or sound.
stitch | noun | A single loop of thread in sewing.
