tailgate | noun | The hinged flap at the back of a vehicle.
talent | noun | A natural ability to do something well.
tangle | noun | A confused mass of threads or hair.
target | noun | An object aimed at; a goal to be reached.
teacher | noun | A person who teaches.
teamwork | noun | Combined effort by a group.
technical | adjective | Concerning the practical side of a craft or science.
technique | noun | A way of carrying out a skilled task.
teller | noun | A bank clerk who handles money; a person who tells.
temper | noun | A tendency to become angry; a state of mind.
temple | noun | A building for worship; the flat side of the forehead.
temporary | adjective | Lasting only for a limited time.
tendency | noun | An inclination to act in a certain way.
tennis | noun | A game played with rackets over a net.
tension | noun | The state of being stretched; mental strain.
terminal | noun | A building for travellers; an end point.
terrible | adjective | Extremely bad; causing terror.
terrific | adjective | Excellent; very great.
territory | noun | An area of land under a ruler or claimed by an animal.
terror | noun | Extreme fear.
textbook | noun | A book used for study.
texture | noun | The feel or appearance of a surface.
theater | noun | A building where plays are performed.
theory | noun | An explanation of facts; ideas as opposed to practice.
therapist | noun | A person trained to treat illness or distress.
therefore | adverb | For that reason.
thickness | noun | The distance between opposite surfaces.
thirsty | adjective | Feeling a need to drink.
thirteen | noun | The number after twelve.
thirty | noun | The number after twenty-nine.
thorough | adjective | Complete in every detail.
though | conjunction | Despite the fact that.
thought | noun | An idea; the act of thinking.
thousand | noun | Ten hundred.
thread | noun | A thin strand of cotton or silk.
threat | noun | A statement of intent to harm; a danger.
threaten | verb | To state an intention to harm; to be a danger to.
thrill | noun | A sudden feeling of excitement.
throat | noun | The passage from the mouth to the stomach and lungs.
through | preposition | From one side to the other of.
thrust | verb | To push suddenly and hard.
thunder | noun | The loud noise following lightning.
ticket | noun | A printed slip giving entry or travel.
timber | noun | Wood prepared for building.
tissue | noun | Material of cells in a body; thin soft paper.
titanium | noun | A strong light silvery metal.
tobacco | noun | Dried leaves smoked in cigarettes and pipes.
together | adverb | With one another.
toilet | noun | A bowl for waste; the room containing it.
tomorrow | noun | The day after today.
tongue | noun | The muscular organ in the mouth; a language.
tonight | noun | The night of the present day.
topple | verb | To fall over; to overthrow.
touchdown | noun | The landing of an aircraft; a score in American football.
toughen | verb | To make stronger or more resilient.
toward | preposition | In the direction of.
tradition | noun | A custom passed down through generations.
